# A6 — Repeated-game cartel folk-theorem — Bonded Commons §8.4.4 extension
# trials_per_config=5000 rounds=200 cartel_size=3
# mu=10 q_floor=15 cartel_penalty_mult=5
# strategy: grim trigger / collude-until-detected

p_d	delta	mean_lifespan	mean_collude_PV	mean_defect_PV	collude_dominates_rate	sustainable
0.01	0.80	86.4	6.76	4.95	0.893	YES
0.03	0.80	33.2	4.07	4.95	0.714	NO
0.05	0.80	20.2	1.91	4.95	0.589	NO
0.10	0.80	10.1	-2.76	4.95	0.317	NO
0.15	0.80	6.7	-6.52	4.95	0.168	NO
0.20	0.80	5.0	-9.43	4.95	0.088	NO
0.30	0.80	3.3	-13.17	4.95	0.020	NO
0.50	0.80	2.0	-18.19	4.95	0.001	NO
0.01	0.90	86.6	12.94	4.95	0.886	YES
0.03	0.90	33.1	7.22	4.95	0.695	YES
0.05	0.90	20.1	3.11	4.95	0.557	NO
0.10	0.90	10.1	-4.19	4.95	0.284	NO
0.15	0.90	6.7	-8.87	4.95	0.141	NO
0.20	0.90	5.0	-12.05	4.95	0.075	NO
0.30	0.90	3.3	-15.76	4.95	0.016	NO
0.50	0.90	2.0	-19.81	4.95	0.000	NO
0.01	0.95	86.7	23.80	4.95	0.868	YES
0.03	0.95	33.2	11.64	4.95	0.655	YES
0.05	0.95	20.1	4.57	4.95	0.501	NO
0.10	0.95	10.1	-5.59	4.95	0.227	NO
0.15	0.95	6.7	-10.84	4.95	0.101	NO
0.20	0.95	4.9	-14.01	4.95	0.047	NO
0.30	0.95	3.3	-17.43	4.95	0.008	NO
0.50	0.95	2.0	-20.73	4.95	0.000	NO
0.01	0.99	86.6	70.01	4.95	0.842	YES
0.03	0.99	33.1	22.88	4.95	0.601	YES
0.05	0.99	20.0	7.17	4.95	0.431	YES
0.10	0.99	10.1	-7.48	4.95	0.168	NO
0.15	0.99	6.7	-13.17	4.95	0.060	NO
0.20	0.99	4.9	-16.14	4.95	0.024	NO
0.30	0.99	3.3	-19.02	4.95	0.003	NO
0.50	0.99	2.0	-21.53	4.95	0.000	NO

# Reading the result:
# - sustainable=YES: cartel PV > defector PV at this (p_d, delta)
# - sustainable=NO:  cartel is fragile; a rational member defects round 1
# - mean_lifespan: expected rounds before detection slashes the cartel
# - p_d* (threshold detection rate) is the smallest p_d in a delta row
#   where sustainable flips NO. That p_d* is the protocol target.

# Closed-form check (no defection-stage punishment beyond detection):
#   V_C = (piC − p_d · L) / (1 − delta · (1 − p_d))
#   sustainable iff V_C ≥ piD
#   p_d* = (piC − (1 − delta) · piD) / (L + delta · piD)

# Headline (assuming delta = 0.95, typical for one-month rounds):
# p_d* ≈ 0.0478. The tested grid first classifies the cartel as fragile
# at p_d = 0.05. This sets a model-conditional bar for
# the Anchor §6.4 detection mechanism (Merkle Forest binding + heat).
