baseline_commit	source_path	sha256	external_archive_copy
00ab2c9ab2197ff97e85edc173370b7446fdb2ef	skills/task-analysis-of-pier-side-ship-handling/references/art-science-gap-in-expert-systems.md	f9bcb92c02127956c3e5130b4267396b356fe0bb148b4849a6460a5b7f579a5e	architecture-skill-drafts/B06/validation/hta-repair/original/task-analysis-of-pier-side-ship-handling/original-references/art-science-gap-in-expert-systems.md
00ab2c9ab2197ff97e85edc173370b7446fdb2ef	skills/task-analysis-of-pier-side-ship-handling/references/critical-cue-inventories-for-agent-perception.md	a07c0d3a42b73c9c0a4e4e8b1c2265b4a738ab390ba6b9a7fd1a1e53b223b2b2	architecture-skill-drafts/B06/validation/hta-repair/original/task-analysis-of-pier-side-ship-handling/original-references/critical-cue-inventories-for-agent-perception.md
00ab2c9ab2197ff97e85edc173370b7446fdb2ef	skills/task-analysis-of-pier-side-ship-handling/references/critical-decision-method-knowledge-elicitation.md	4da0b8d2d6873815051d1d03f51c8ffd695eebf7f778b85bf1d1e438229bdf8c	architecture-skill-drafts/B06/validation/hta-repair/original/task-analysis-of-pier-side-ship-handling/original-references/critical-decision-method-knowledge-elicitation.md
00ab2c9ab2197ff97e85edc173370b7446fdb2ef	skills/task-analysis-of-pier-side-ship-handling/references/emergency-preparedness-and-failure-mode-classification.md	ed9400b2d7e85f2c72acf2adfdc83cf700ba56ed4a8d5b480a513815c5ec4d5b	architecture-skill-drafts/B06/validation/hta-repair/original/task-analysis-of-pier-side-ship-handling/original-references/emergency-preparedness-and-failure-mode-classification.md
00ab2c9ab2197ff97e85edc173370b7446fdb2ef	skills/task-analysis-of-pier-side-ship-handling/references/expert-knowledge-two-layers.md	b2164feba9ea809b218bd787c1ef215390ad147d5b91bf4a22d49e402807f435	architecture-skill-drafts/B06/validation/hta-repair/original/task-analysis-of-pier-side-ship-handling/original-references/expert-knowledge-two-layers.md
00ab2c9ab2197ff97e85edc173370b7446fdb2ef	skills/task-analysis-of-pier-side-ship-handling/references/failure-modes-in-complex-coordinated-operations.md	76aea8a73a20f73cb19ae74f9e90aa53b25956a64b3db3c85baa159eff4bc89c	architecture-skill-drafts/B06/validation/hta-repair/original/task-analysis-of-pier-side-ship-handling/original-references/failure-modes-in-complex-coordinated-operations.md
00ab2c9ab2197ff97e85edc173370b7446fdb2ef	skills/task-analysis-of-pier-side-ship-handling/references/goms-plus-cci-dual-layer-task-modeling.md	e02c0b43f6e1a61f6df77982b11c6fd3695688f85ca33b00e0c66e0a4d66cc74	architecture-skill-drafts/B06/validation/hta-repair/original/task-analysis-of-pier-side-ship-handling/original-references/goms-plus-cci-dual-layer-task-modeling.md
00ab2c9ab2197ff97e85edc173370b7446fdb2ef	skills/task-analysis-of-pier-side-ship-handling/references/goms-task-decomposition-for-agent-systems.md	5de116710cf6109ba17c0bafde692870df6018f7e03f89162a51d90281b098e7	architecture-skill-drafts/B06/validation/hta-repair/original/task-analysis-of-pier-side-ship-handling/original-references/goms-task-decomposition-for-agent-systems.md
00ab2c9ab2197ff97e85edc173370b7446fdb2ef	skills/task-analysis-of-pier-side-ship-handling/references/hierarchical-decomposition-and-grain-selection.md	31b846527e0e4a551ba1097baed6207269db5d11aabba0aa66dc29dda4fdad53	architecture-skill-drafts/B06/validation/hta-repair/original/task-analysis-of-pier-side-ship-handling/original-references/hierarchical-decomposition-and-grain-selection.md
00ab2c9ab2197ff97e85edc173370b7446fdb2ef	skills/task-analysis-of-pier-side-ship-handling/references/knowledge-elicitation-methodology-for-agent-capability-building.md	e1d785da4bb88ffbe4bd4320c5afae76be7efcff71e212c32d461b0b278f306c	architecture-skill-drafts/B06/validation/hta-repair/original/task-analysis-of-pier-side-ship-handling/original-references/knowledge-elicitation-methodology-for-agent-capability-building.md
00ab2c9ab2197ff97e85edc173370b7446fdb2ef	skills/task-analysis-of-pier-side-ship-handling/references/multi-agent-coordination-and-watch-team-architecture.md	1800ec1ccbfb50aea734518d999568e85b7e7d8812e148d1bf99ef4567f28621	architecture-skill-drafts/B06/validation/hta-repair/original/task-analysis-of-pier-side-ship-handling/original-references/multi-agent-coordination-and-watch-team-architecture.md
00ab2c9ab2197ff97e85edc173370b7446fdb2ef	skills/task-analysis-of-pier-side-ship-handling/references/perceptual-cues-as-agent-sensors.md	875f1dcad20a79279d9cd65baaaa96fa65a76bb6dac6f6e4f861044412352259	architecture-skill-drafts/B06/validation/hta-repair/original/task-analysis-of-pier-side-ship-handling/original-references/perceptual-cues-as-agent-sensors.md
00ab2c9ab2197ff97e85edc173370b7446fdb2ef	skills/task-analysis-of-pier-side-ship-handling/references/redundant-sensing-in-multi-channel-environments.md	015a2928963d11eac541b1d2fdd30c2e7e21c42cd4289f9dd22e0fd1b94160f7	architecture-skill-drafts/B06/validation/hta-repair/original/task-analysis-of-pier-side-ship-handling/original-references/redundant-sensing-in-multi-channel-environments.md
00ab2c9ab2197ff97e85edc173370b7446fdb2ef	skills/task-analysis-of-pier-side-ship-handling/references/situation-awareness-and-the-conning-officers-mental-model.md	aa5806f8e030cf2b83808b3613b72aab27900706519beaf8ca620963383880a0	architecture-skill-drafts/B06/validation/hta-repair/original/task-analysis-of-pier-side-ship-handling/original-references/situation-awareness-and-the-conning-officers-mental-model.md
00ab2c9ab2197ff97e85edc173370b7446fdb2ef	skills/task-analysis-of-pier-side-ship-handling/references/tacit-knowledge-and-simulation-design.md	0525db00c876a75474a35324773eaddeda9a5e486ab5d0c8d02840911bb55085	architecture-skill-drafts/B06/validation/hta-repair/original/task-analysis-of-pier-side-ship-handling/original-references/tacit-knowledge-and-simulation-design.md
