time,event,agent_id,task_id,note
0.0,start,0,0,
0.0,refuse,1,1,
0.0,abandon,1,1,
0.0,refuse,2,2,
0.0,abandon,2,2,
0.0,refuse,3,3,
0.0,abandon,3,3,
0.0,start,1,4,
0.0,refuse,2,5,
0.0,abandon,2,5,
0.0,start,3,6,
0.0,start,2,7,
18.022,land,2,7,
18.022,start,2,8,
25.23,land,2,8,
25.23,start,2,9,
251.004,conflict-at-land,3,6,
251.004,abandon,3,6,
251.004,start,3,10,
418.67,land,1,4,
418.67,start,1,11,
423.979,land,1,11,
423.979,refuse,1,12,
423.979,abandon,1,12,
423.979,refuse,1,13,
423.979,abandon,1,13,
423.979,refuse,1,14,
423.979,abandon,1,14,
423.979,refuse,1,15,
423.979,abandon,1,15,
423.979,refuse,1,16,
423.979,abandon,1,16,
423.979,refuse,1,17,
423.979,abandon,1,17,
423.979,start,1,18,
430.361,land,1,18,
430.361,start,1,19,
471.86,conflict-at-land,1,19,
471.86,abandon,1,19,
471.86,start,1,20,
509.614,land,1,20,
509.614,refuse,1,21,
509.614,abandon,1,21,
509.614,start,1,22,
569.241,land,1,22,
569.241,start,1,23,
589.367,conflict-at-land,1,23,
589.367,abandon,1,23,
589.367,start,1,24,
707.318,land,1,24,
707.318,start,1,25,
852.052,land,0,0,
852.052,start,0,26,
949.319,land,0,26,
949.319,start,0,27,
1227.37,conflict-at-land,0,27,
1227.37,abandon,0,27,
1227.37,start,0,28,
1233.529,conflict-at-land,0,28,
1233.529,abandon,0,28,
1233.529,start,0,29,
1245.132,land,0,29,
1245.132,start,0,30,
1252.88,land,0,30,
1252.88,start,0,31,
1486.244,conflict-at-land,1,25,
1486.244,abandon,1,25,
1486.244,start,1,32,
1488.393,conflict-at-land,1,32,
1488.393,abandon,1,32,
1488.393,start,1,33,
1491.33,conflict-at-land,1,33,
1491.33,abandon,1,33,
1491.33,start,1,34,
1499.35,land,1,34,
1499.35,start,1,35,
1504.918,land,1,35,
1504.918,start,1,36,
1512.328,land,1,36,
1512.328,start,1,37,
1518.421,land,1,37,
1518.421,start,1,38,
1524.639,conflict-at-land,1,38,
1524.639,abandon,1,38,
1524.639,start,1,39,
1534.739,conflict-at-land,1,39,
1534.739,abandon,1,39,
1534.739,start,1,40,
1539.025,conflict-at-land,1,40,
1539.025,abandon,1,40,
1539.025,start,1,41,
1560.507,conflict-at-land,1,41,
1560.507,abandon,1,41,
1560.507,start,1,42,
1565.199,conflict-at-land,1,42,
1565.199,abandon,1,42,
1565.199,start,1,43,
1577.273,conflict-at-land,1,43,
1577.273,abandon,1,43,
1577.273,start,1,44,
1585.068,conflict-at-land,1,44,
1585.068,abandon,1,44,
1585.068,start,1,45,
1707.459,land,0,31,
1707.459,refuse,0,46,
1707.459,abandon,0,46,
1707.459,refuse,0,47,
1707.459,abandon,0,47,
1707.459,start,0,48,
1714.741,land,0,48,
1714.741,start,0,49,
1720.945,conflict-at-land,1,45,
1720.945,abandon,1,45,
1720.945,start,1,50,
1788.91,conflict-at-land,0,49,
1788.91,abandon,0,49,
1788.91,start,0,51,
1795.754,conflict-at-land,0,51,
1795.754,abandon,0,51,
1795.754,start,0,52,
1809.299,conflict-at-land,1,50,
1809.299,abandon,1,50,
1809.299,start,1,53,
1810.681,land,0,52,
1810.681,start,0,54,
1821.246,conflict-at-land,0,54,
1821.246,abandon,0,54,
1821.246,start,0,55,
1829.456,conflict-at-land,0,55,
1829.456,abandon,0,55,
1829.456,start,0,56,
1833.322,conflict-at-land,0,56,
1833.322,abandon,0,56,
1833.322,start,0,57,
1875.468,conflict-at-land,0,57,
1875.468,abandon,0,57,
1875.468,start,0,58,
1877.858,land,0,58,
1877.858,start,0,59,
1884.772,conflict-at-land,0,59,
1884.772,abandon,0,59,
1884.772,start,0,60,
1891.547,conflict-at-land,0,60,
1891.547,abandon,0,60,
1891.547,start,0,61,
1897.408,land,0,61,
1897.408,start,0,62,
1903.517,conflict-at-land,0,62,
1903.517,abandon,0,62,
1903.517,start,0,63,
1906.499,land,0,63,
1906.499,start,0,64,
2142.725,conflict-at-land,1,53,
2142.725,abandon,1,53,
2142.725,start,1,65,
2145.727,land,1,65,
2145.727,start,1,66,
2267.91,land,0,64,
2267.91,start,0,67,
2273.384,conflict-at-land,0,67,
2273.384,abandon,0,67,
2273.384,start,0,68,
2280.763,conflict-at-land,0,68,
2280.763,abandon,0,68,
2280.763,start,0,69,
2336.555,conflict-at-land,0,69,
2336.555,abandon,0,69,
2336.555,start,0,70,
2342.414,conflict-at-land,0,70,
2342.414,abandon,0,70,
2342.414,start,0,71,
2354.902,conflict-at-land,0,71,
2354.902,abandon,0,71,
2354.902,start,0,72,
2362.415,conflict-at-land,0,72,
2362.415,abandon,0,72,
2362.415,start,0,73,
2369.22,conflict-at-land,0,73,
2369.22,abandon,0,73,
2369.22,start,0,74,
2375.172,conflict-at-land,0,74,
2375.172,abandon,0,74,
2375.172,start,0,75,
2382.67,conflict-at-land,0,75,
2382.67,abandon,0,75,
2382.67,start,0,76,
2398.776,conflict-at-land,0,76,
2398.776,abandon,0,76,
2398.776,start,0,77,
2405.495,conflict-at-land,0,77,
2405.495,abandon,0,77,
2405.495,start,0,78,
2407.894,conflict-at-land,0,78,
2407.894,abandon,0,78,
2407.894,start,0,79,
2448.971,conflict-at-land,0,79,
2448.971,abandon,0,79,
2448.971,start,0,80,
2456.719,conflict-at-land,0,80,
2456.719,abandon,0,80,
2456.719,start,0,81,
2467.94,conflict-at-land,0,81,
2467.94,abandon,0,81,
2467.94,start,0,82,
2478.569,conflict-at-land,0,82,
2478.569,abandon,0,82,
2478.569,start,0,83,
2486.216,conflict-at-land,0,83,
2486.216,abandon,0,83,
2486.216,start,0,84,
2492.958,conflict-at-land,0,84,
2492.958,abandon,0,84,
2492.958,start,0,85,
2504.989,conflict-at-land,0,85,
2504.989,abandon,0,85,
2504.989,start,0,86,
2520.148,conflict-at-land,0,86,
2520.148,abandon,0,86,
2520.148,start,0,87,
2529.966,conflict-at-land,0,87,
2529.966,abandon,0,87,
2529.966,start,0,88,
2536.283,conflict-at-land,0,88,
2536.283,abandon,0,88,
2536.283,start,0,89,
2544.267,conflict-at-land,0,89,
2544.267,abandon,0,89,
2544.267,start,0,90,
2546.741,conflict-at-land,0,90,
2546.741,abandon,0,90,
2546.741,start,0,91,
2601.126,conflict-at-land,0,91,
2601.126,abandon,0,91,
2601.126,start,0,92,
2608.689,land,0,92,
2608.689,start,0,93,
2618.355,conflict-at-land,0,93,
2618.355,abandon,0,93,
2618.355,start,0,94,
2629.533,conflict-at-land,0,94,
2629.533,abandon,0,94,
2629.533,start,0,95,
2654.57,conflict-at-land,0,95,
2654.57,abandon,0,95,
2654.57,start,0,96,
2678.417,conflict-at-land,0,96,
2678.417,abandon,0,96,
2678.417,start,0,97,
2689.618,conflict-at-land,0,97,
2689.618,abandon,0,97,
2689.618,start,0,98,
2694.507,conflict-at-land,0,98,
2694.507,abandon,0,98,
2694.507,start,0,99,
2701.389,conflict-at-land,0,99,
2701.389,abandon,0,99,
2701.389,start,0,100,
2721.24,conflict-at-land,0,100,
2721.24,abandon,0,100,
2721.24,start,0,101,
2724.516,conflict-at-land,0,101,
2724.516,abandon,0,101,
2724.516,start,0,102,
2729.699,conflict-at-land,0,102,
2729.699,abandon,0,102,
2729.699,refuse,0,103,
2729.699,abandon,0,103,
2729.699,start,0,104,
2732.207,conflict-at-land,0,104,
2732.207,abandon,0,104,
2732.207,start,0,105,
2746.91,conflict-at-land,0,105,
2746.91,abandon,0,105,
2746.91,start,0,106,
2811.066,conflict-at-land,0,106,
2811.066,abandon,0,106,
2811.066,refuse,0,107,
2811.066,abandon,0,107,
2811.066,start,0,108,
2817.147,conflict-at-land,0,108,
2817.147,abandon,0,108,
2817.147,start,0,109,
2860.792,land,0,109,
2860.792,start,0,110,
2888.739,land,0,110,
2888.739,start,0,111,
2903.613,conflict-at-land,0,111,
2903.613,abandon,0,111,
2903.613,start,0,112,
2918.353,land,0,112,
2918.353,start,0,113,
2935.52,conflict-at-land,0,113,
2935.52,abandon,0,113,
2935.52,start,0,114,
2942.301,land,0,114,
2942.301,start,0,115,
3082.531,conflict-at-land,0,115,
3082.531,abandon,0,115,
3082.531,start,0,116,
3277.94,conflict-at-land,0,116,
3277.94,abandon,0,116,
3277.94,start,0,117,
3282.298,conflict-at-land,1,66,
3282.298,abandon,1,66,
3282.298,refuse,1,118,
3282.298,abandon,1,118,
3282.298,start,1,119,
3312.097,land,1,119,
3312.097,start,1,120,
3359.859,land,0,117,
3359.859,start,0,121,
3378.95,conflict-at-land,0,121,
3378.95,abandon,0,121,
3378.95,start,0,122,
3400.406,conflict-at-land,0,122,
3400.406,abandon,0,122,
3400.406,start,0,123,
3455.014,land,0,123,
3455.014,start,0,124,
3527.708,land,0,124,
3527.708,start,0,125,
3532.828,conflict-at-land,0,125,
3532.828,abandon,0,125,
3532.828,start,0,126,
3547.084,conflict-at-land,0,126,
3547.084,abandon,0,126,
3547.084,refuse,0,127,
3547.084,abandon,0,127,
3547.084,start,0,128,
3594.74,land,0,128,
3594.74,refuse,0,129,
3594.74,abandon,0,129,
3594.74,start,0,130,
3609.325,land,0,130,
3609.325,start,0,131,
3616.014,land,0,131,
3616.014,start,0,132,
3621.602,conflict-at-land,0,132,
3621.602,abandon,0,132,
3621.602,start,0,133,
3625.958,conflict-at-land,0,133,
3625.958,abandon,0,133,
3625.958,start,0,134,
3641.486,conflict-at-land,0,134,
3641.486,abandon,0,134,
3641.486,refuse,0,135,
3641.486,abandon,0,135,
3641.486,start,0,136,
3650.976,land,0,136,
3650.976,start,0,137,
3655.306,land,0,137,
3655.306,start,0,138,
3658.026,land,0,138,
3658.026,start,0,139,
3722.175,land,0,139,
3722.175,start,0,140,
4127.673,conflict-at-land,0,140,
4127.673,abandon,0,140,
4127.673,start,0,141,
4243.276,conflict-at-land,1,120,
4243.276,abandon,1,120,
4243.276,refuse,1,142,
4243.276,abandon,1,142,
4243.276,start,1,143,
4324.486,conflict-at-land,1,143,
4324.486,abandon,1,143,
4324.486,refuse,1,144,
4324.486,abandon,1,144,
4324.486,refuse,1,145,
4324.486,abandon,1,145,
4324.486,start,1,146,
4328.797,conflict-at-land,1,146,
4328.797,abandon,1,146,
4328.797,start,1,147,
4334.612,land,1,147,
4334.612,start,1,148,
4613.734,conflict-at-land,0,141,
4613.734,abandon,0,141,
4613.734,start,0,149,
5450.579,land,3,10,
5450.579,refuse,3,150,
5450.579,abandon,3,150,
5450.579,start,3,151,
5458.026,land,3,151,
5458.026,start,3,152,
5464.947,land,3,152,
5464.947,start,3,153,
5479.556,land,3,153,
5479.556,refuse,3,154,
5479.556,abandon,3,154,
5479.556,start,3,155,
5486.296,conflict-at-land,3,155,
5486.296,abandon,3,155,
5486.296,start,3,156,
5492.198,conflict-at-land,3,156,
5492.198,abandon,3,156,
5492.198,start,3,157,
5497.209,land,3,157,
5497.209,start,3,158,
5500.499,land,3,158,
5500.499,start,3,159,
5505.838,conflict-at-land,3,159,
5505.838,abandon,3,159,
5505.838,refuse,3,160,
5505.838,abandon,3,160,
5505.838,start,3,161,
5511.673,land,2,9,
5511.673,start,2,162,
5526.391,conflict-at-land,3,161,
5526.391,abandon,3,161,
5526.391,refuse,3,163,
5526.391,abandon,3,163,
5526.391,refuse,3,164,
5526.391,abandon,3,164,
5526.391,start,3,165,
5529.109,conflict-at-land,2,162,
5529.109,abandon,2,162,
5529.109,refuse,2,166,
5529.109,abandon,2,166,
5529.109,start,2,167,
5536.098,conflict-at-land,2,167,
5536.098,abandon,2,167,
5536.098,refuse,2,168,
5536.098,abandon,2,168,
5536.098,refuse,2,169,
5536.098,abandon,2,169,
5536.098,start,2,170,
5603.557,land,3,165,
5603.557,start,3,171,
5614.786,land,3,171,
5614.786,start,3,172,
5614.79,conflict-at-land,1,148,
5614.79,abandon,1,148,
5614.79,start,1,173,
5619.508,land,1,173,
5619.508,refuse,1,174,
5619.508,abandon,1,174,
5619.508,start,1,175,
5620.839,land,3,172,
5620.839,start,3,176,
5633.839,conflict-at-land,2,170,
5633.839,abandon,2,170,
5633.839,start,2,177,
5634.818,land,1,175,
5634.818,start,1,178,
5640.221,conflict-at-land,2,177,
5640.221,abandon,2,177,
5640.221,start,2,179,
5641.37,land,3,176,
5641.37,start,3,180,
5648.75,conflict-at-land,2,179,
5648.75,abandon,2,179,
5648.75,refuse,2,181,
5648.75,abandon,2,181,
5648.75,refuse,2,182,
5648.75,abandon,2,182,
5648.75,start,2,183,
5658.163,conflict-at-land,2,183,
5658.163,abandon,2,183,
5658.163,refuse,2,184,
5658.163,abandon,2,184,
5658.163,start,2,185,
5662.567,conflict-at-land,2,185,
5662.567,abandon,2,185,
5662.567,start,2,186,
5673.369,conflict-at-land,2,186,
5673.369,abandon,2,186,
5673.369,refuse,2,187,
5673.369,abandon,2,187,
5673.369,start,2,188,
5687.935,land,3,180,
5687.935,start,3,189,
5697.27,conflict-at-land,2,188,
5697.27,abandon,2,188,
5697.27,start,2,190,
5697.641,land,1,178,
5697.641,start,1,191,
5699.298,land,3,189,
5699.298,refuse,3,192,
5699.298,abandon,3,192,
5699.298,start,3,193,
5706.999,land,2,190,
5706.999,start,2,194,
5714.562,conflict-at-land,2,194,
5714.562,abandon,2,194,
5714.562,start,2,195,
5745.878,conflict-at-land,1,191,
