time,event,agent_id,task_id,note
0.0,start,0,0,
0.0,refuse,1,1,
0.0,start,2,2,
0.0,refuse,3,3,
0.0,start,4,4,
0.0,refuse,5,5,
0.0,start,6,6,
0.0,refuse,7,7,
7.251,land,2,2,
7.251,refuse,2,8,
12.796,land,6,6,
12.796,refuse,6,9,
15.0,refuse,1,1,
15.0,refuse,3,3,
15.0,refuse,5,5,
15.0,start,7,7,
16.393,land,0,0,
16.393,start,0,10,
22.251,refuse,2,8,
23.975,land,7,7,
23.975,refuse,7,11,
27.796,refuse,6,9,
28.029,conflict-at-land,0,10,
30.0,start,1,1,
30.0,refuse,3,3,
30.0,refuse,5,5,
37.251,refuse,2,8,
38.975,refuse,7,11,
42.796,refuse,6,9,
43.029,start,0,10,
45.0,refuse,3,3,
45.0,refuse,5,5,
52.251,refuse,2,8,
53.975,refuse,7,11,
57.108,conflict-at-land,0,10,
57.796,refuse,6,9,
60.0,refuse,3,3,
60.0,refuse,5,5,
67.251,refuse,2,8,
68.975,refuse,7,11,
72.108,start,0,10,
72.796,refuse,6,9,
75.0,refuse,3,3,
75.0,refuse,5,5,
81.184,conflict-at-land,0,10,
82.251,refuse,2,8,
83.975,refuse,7,11,
87.796,refuse,6,9,
90.0,refuse,3,3,
90.0,refuse,5,5,
96.184,start,0,10,
97.251,refuse,2,8,
98.975,refuse,7,11,
102.796,refuse,6,9,
104.788,conflict-at-land,0,10,
105.0,refuse,3,3,
105.0,refuse,5,5,
112.251,refuse,2,8,
113.975,refuse,7,11,
117.796,refuse,6,9,
119.788,start,0,10,
120.0,refuse,3,3,
120.0,refuse,5,5,
127.251,refuse,2,8,
128.975,refuse,7,11,
132.796,refuse,6,9,
134.206,conflict-at-land,0,10,
135.0,refuse,3,3,
135.0,refuse,5,5,
141.277,land,1,1,
141.277,refuse,1,12,
142.251,refuse,2,8,
143.975,refuse,7,11,
147.796,refuse,6,9,
149.206,start,0,10,
150.0,refuse,3,3,
150.0,refuse,5,5,
156.277,refuse,1,12,
157.251,refuse,2,8,
158.975,refuse,7,11,
160.721,conflict-at-land,0,10,
162.796,refuse,6,9,
165.0,refuse,3,3,
165.0,refuse,5,5,
166.79,conflict-at-land,4,4,
171.277,start,1,12,
172.251,refuse,2,8,
173.975,refuse,7,11,
175.721,start,0,10,
177.796,refuse,6,9,
180.0,refuse,3,3,
180.0,refuse,5,5,
181.79,refuse,4,4,
184.137,conflict-at-land,0,10,
187.251,refuse,2,8,
188.975,refuse,7,11,
192.796,refuse,6,9,
195.0,refuse,3,3,
195.0,refuse,5,5,
196.79,refuse,4,4,
199.137,start,0,10,
202.251,refuse,2,8,
203.975,refuse,7,11,
207.796,refuse,6,9,
210.0,refuse,3,3,
210.0,refuse,5,5,
210.743,conflict-at-land,0,10,
211.79,refuse,4,4,
217.251,refuse,2,8,
218.975,refuse,7,11,
222.796,refuse,6,9,
225.0,refuse,3,3,
225.0,refuse,5,5,
225.743,start,0,10,
226.79,refuse,4,4,
232.251,refuse,2,8,
233.975,refuse,7,11,
237.796,refuse,6,9,
239.338,conflict-at-land,0,10,
240.0,refuse,3,3,
240.0,refuse,5,5,
241.79,refuse,4,4,
247.251,refuse,2,8,
248.975,refuse,7,11,
252.796,refuse,6,9,
254.338,start,0,10,
255.0,refuse,3,3,
255.0,refuse,5,5,
256.79,refuse,4,4,
262.251,refuse,2,8,
263.975,refuse,7,11,
264.386,conflict-at-land,0,10,
267.796,refuse,6,9,
270.0,refuse,3,3,
270.0,refuse,5,5,
271.79,refuse,4,4,
277.251,refuse,2,8,
278.975,refuse,7,11,
279.386,start,0,10,
282.796,refuse,6,9,
285.0,refuse,3,3,
285.0,refuse,5,5,
286.79,refuse,4,4,
292.251,refuse,2,8,
293.975,refuse,7,11,
294.592,conflict-at-land,0,10,
297.796,refuse,6,9,
300.0,refuse,3,3,
300.0,refuse,5,5,
301.79,refuse,4,4,
307.251,refuse,2,8,
308.975,refuse,7,11,
309.592,start,0,10,
312.796,refuse,6,9,
315.0,refuse,3,3,
315.0,refuse,5,5,
316.79,refuse,4,4,
322.251,refuse,2,8,
323.975,refuse,7,11,
324.482,conflict-at-land,0,10,
327.796,refuse,6,9,
330.0,refuse,3,3,
330.0,refuse,5,5,
331.79,refuse,4,4,
337.251,refuse,2,8,
338.975,refuse,7,11,
339.482,start,0,10,
342.796,refuse,6,9,
345.0,refuse,3,3,
345.0,refuse,5,5,
346.79,refuse,4,4,
348.102,conflict-at-land,0,10,
352.251,refuse,2,8,
353.975,refuse,7,11,
357.796,refuse,6,9,
360.0,refuse,3,3,
360.0,refuse,5,5,
361.79,refuse,4,4,
363.102,start,0,10,
367.251,refuse,2,8,
368.975,refuse,7,11,
371.685,conflict-at-land,0,10,
372.796,refuse,6,9,
375.0,refuse,3,3,
375.0,refuse,5,5,
376.79,refuse,4,4,
382.251,refuse,2,8,
383.975,refuse,7,11,
386.685,start,0,10,
387.796,refuse,6,9,
390.0,refuse,3,3,
390.0,refuse,5,5,
391.79,refuse,4,4,
397.251,refuse,2,8,
398.975,refuse,7,11,
398.983,conflict-at-land,0,10,
402.796,refuse,6,9,
405.0,refuse,3,3,
405.0,refuse,5,5,
406.79,refuse,4,4,
412.251,refuse,2,8,
413.975,refuse,7,11,
413.983,start,0,10,
417.796,refuse,6,9,
420.0,refuse,3,3,
420.0,refuse,5,5,
421.79,refuse,4,4,
427.251,refuse,2,8,
428.975,refuse,7,11,
429.145,conflict-at-land,0,10,
432.796,refuse,6,9,
435.0,refuse,3,3,
435.0,refuse,5,5,
436.79,refuse,4,4,
442.251,refuse,2,8,
443.975,refuse,7,11,
444.145,start,0,10,
447.796,refuse,6,9,
450.0,refuse,3,3,
450.0,refuse,5,5,
451.79,refuse,4,4,
455.29,conflict-at-land,0,10,
457.251,refuse,2,8,
458.975,refuse,7,11,
462.796,refuse,6,9,
465.0,refuse,3,3,
465.0,refuse,5,5,
466.79,refuse,4,4,
470.29,start,0,10,
472.251,refuse,2,8,
473.975,refuse,7,11,
477.796,refuse,6,9,
480.0,refuse,3,3,
480.0,refuse,5,5,
480.249,conflict-at-land,0,10,
481.79,refuse,4,4,
487.251,refuse,2,8,
488.975,refuse,7,11,
492.796,refuse,6,9,
495.0,refuse,3,3,
495.0,refuse,5,5,
495.249,start,0,10,
496.79,refuse,4,4,
502.251,refuse,2,8,
503.975,refuse,7,11,
506.689,conflict-at-land,0,10,
507.796,refuse,6,9,
510.0,refuse,3,3,
510.0,refuse,5,5,
511.79,refuse,4,4,
517.251,refuse,2,8,
518.975,refuse,7,11,
521.689,start,0,10,
522.796,refuse,6,9,
525.0,refuse,3,3,
525.0,refuse,5,5,
526.79,refuse,4,4,
530.298,conflict-at-land,0,10,
532.251,refuse,2,8,
533.975,refuse,7,11,
537.796,refuse,6,9,
540.0,refuse,3,3,
540.0,refuse,5,5,
541.79,refuse,4,4,
545.298,start,0,10,
547.251,refuse,2,8,
548.975,refuse,7,11,
552.796,refuse,6,9,
555.0,refuse,3,3,
555.0,refuse,5,5,
555.294,conflict-at-land,0,10,
556.79,refuse,4,4,
562.251,refuse,2,8,
563.975,refuse,7,11,
567.796,refuse,6,9,
570.0,refuse,3,3,
570.0,refuse,5,5,
570.294,start,0,10,
571.79,refuse,4,4,
577.251,refuse,2,8,
578.975,refuse,7,11,
581.847,conflict-at-land,0,10,
582.796,refuse,6,9,
585.0,refuse,3,3,
585.0,refuse,5,5,
586.79,refuse,4,4,
592.251,refuse,2,8,
593.975,refuse,7,11,
596.847,start,0,10,
597.796,refuse,6,9,
600.0,refuse,3,3,
600.0,refuse,5,5,
601.79,refuse,4,4,
607.251,refuse,2,8,
608.817,conflict-at-land,0,10,
608.975,refuse,7,11,
612.796,refuse,6,9,
615.0,refuse,3,3,
615.0,refuse,5,5,
616.79,refuse,4,4,
622.251,refuse,2,8,
623.817,start,0,10,
623.975,refuse,7,11,
627.796,refuse,6,9,
630.0,refuse,3,3,
630.0,refuse,5,5,
631.79,refuse,4,4,
633.895,conflict-at-land,0,10,
637.251,refuse,2,8,
638.975,refuse,7,11,
642.796,refuse,6,9,
645.0,refuse,3,3,
645.0,refuse,5,5,
646.79,refuse,4,4,
648.895,start,0,10,
652.251,refuse,2,8,
653.975,refuse,7,11,
657.796,refuse,6,9,
658.957,conflict-at-land,0,10,
660.0,refuse,3,3,
660.0,refuse,5,5,
661.79,refuse,4,4,
667.251,refuse,2,8,
668.975,refuse,7,11,
672.796,refuse,6,9,
673.957,start,0,10,
675.0,refuse,3,3,
675.0,refuse,5,5,
676.79,refuse,4,4,
682.251,refuse,2,8,
683.932,conflict-at-land,0,10,
683.975,refuse,7,11,
687.796,refuse,6,9,
690.0,refuse,3,3,
690.0,refuse,5,5,
691.79,refuse,4,4,
697.251,refuse,2,8,
698.932,start,0,10,
698.975,refuse,7,11,
702.796,refuse,6,9,
705.0,refuse,3,3,
705.0,refuse,5,5,
706.79,refuse,4,4,
710.641,conflict-at-land,0,10,
712.251,refuse,2,8,
713.975,refuse,7,11,
717.796,refuse,6,9,
720.0,refuse,3,3,
720.0,refuse,5,5,
721.79,refuse,4,4,
725.641,start,0,10,
727.251,refuse,2,8,
728.975,refuse,7,11,
732.796,refuse,6,9,
735.0,refuse,3,3,
735.0,refuse,5,5,
736.128,conflict-at-land,0,10,
736.79,refuse,4,4,
742.251,refuse,2,8,
743.975,refuse,7,11,
747.796,refuse,6,9,
750.0,refuse,3,3,
750.0,refuse,5,5,
751.128,start,0,10,
751.79,refuse,4,4,
757.251,refuse,2,8,
758.975,refuse,7,11,
759.683,conflict-at-land,0,10,
762.796,refuse,6,9,
765.0,refuse,3,3,
765.0,refuse,5,5,
766.79,refuse,4,4,
772.251,refuse,2,8,
773.975,refuse,7,11,
774.683,start,0,10,
777.796,refuse,6,9,
780.0,refuse,3,3,
780.0,refuse,5,5,
781.79,refuse,4,4,
787.251,refuse,2,8,
788.975,refuse,7,11,
789.113,conflict-at-land,0,10,
792.796,refuse,6,9,
795.0,refuse,3,3,
795.0,refuse,5,5,
796.79,refuse,4,4,
802.251,refuse,2,8,
803.975,refuse,7,11,
804.113,start,0,10,
807.796,refuse,6,9,
810.0,refuse,3,3,
810.0,refuse,5,5,
811.79,refuse,4,4,
816.52,conflict-at-land,0,10,
817.251,refuse,2,8,
818.975,refuse,7,11,
822.796,refuse,6,9,
825.0,refuse,3,3,
825.0,refuse,5,5,
826.79,refuse,4,4,
831.52,start,0,10,
832.251,refuse,2,8,
833.975,refuse,7,11,
837.796,refuse,6,9,
840.0,refuse,3,3,
840.0,refuse,5,5,
841.79,refuse,4,4,
844.544,conflict-at-land,0,10,
847.251,refuse,2,8,
848.975,refuse,7,11,
852.796,refuse,6,9,
855.0,refuse,3,3,
855.0,refuse,5,5,
856.79,refuse,4,4,
859.544,start,0,10,
862.251,refuse,2,8,
863.975,refuse,7,11,
867.796,refuse,6,9,
869.283,conflict-at-land,0,10,
870.0,refuse,3,3,
870.0,refuse,5,5,
871.79,refuse,4,4,
877.251,refuse,2,8,
878.975,refuse,7,11,
882.796,refuse,6,9,
884.283,start,0,10,
885.0,refuse,3,3,
885.0,refuse,5,5,
886.79,refuse,4,4,
892.251,refuse,2,8,
893.975,refuse,7,11,
897.796,refuse,6,9,
899.829,conflict-at-land,0,10,
900.0,refuse,3,3,
900.0,refuse,5,5,
901.79,refuse,4,4,
907.251,refuse,2,8,
908.975,refuse,7,11,
912.796,refuse,6,9,
914.829,start,0,10,
915.0,refuse,3,3,
915.0,refuse,5,5,
916.79,refuse,4,4,
922.251,refuse,2,8,
923.975,refuse,7,11,
927.796,refuse,6,9,
929.421,conflict-at-land,0,10,
930.0,refuse,3,3,
930.0,refuse,5,5,
931.668,conflict-at-land,1,12,
931.79,start,4,4,
937.251,refuse,2,8,
938.975,refuse,7,11,
942.796,refuse,6,9,
944.421,start,0,10,
945.0,refuse,3,3,
945.0,refuse,5,5,
946.668,refuse,1,12,
952.251,refuse,2,8,
953.975,refuse,7,11,
955.216,conflict-at-land,0,10,
957.796,refuse,6,9,
960.0,refuse,3,3,
960.0,refuse,5,5,
961.668,refuse,1,12,
967.251,refuse,2,8,
968.975,refuse,7,11,
970.216,start,0,10,
972.796,refuse,6,9,
975.0,refuse,3,3,
975.0,refuse,5,5,
976.668,refuse,1,12,
982.251,refuse,2,8,
983.811,conflict-at-land,0,10,
983.975,refuse,7,11,
987.796,refuse,6,9,
990.0,refuse,3,3,
990.0,refuse,5,5,
991.668,refuse,1,12,
997.251,refuse,2,8,
998.811,start,0,10,
998.975,refuse,7,11,
1002.796,refuse,6,9,
1005.0,refuse,3,3,
1005.0,refuse,5,5,
1006.668,refuse,1,12,
1012.251,refuse,2,8,
1012.331,conflict-at-land,0,10,
1013.975,refuse,7,11,
1017.796,refuse,6,9,
1020.0,refuse,3,3,
1020.0,refuse,5,5,
1021.668,refuse,1,12,
1027.251,refuse,2,8,
1027.331,start,0,10,
1028.975,refuse,7,11,
1032.796,refuse,6,9,
1035.0,refuse,3,3,
1035.0,refuse,5,5,
1036.668,refuse,1,12,
1042.251,refuse,2,8,
1042.474,conflict-at-land,0,10,
1043.035,conflict-at-land,4,4,
1043.975,start,7,11,
1047.796,refuse,6,9,
1050.0,start,3,3,
1050.0,refuse,5,5,
1051.668,refuse,1,12,
1057.251,refuse,2,8,
1057.474,refuse,0,10,
