time,event,agent_id,task_id,note
0.0,start,0,0,
0.0,refuse,1,1,
0.0,abandon,1,1,
0.0,start,2,2,
0.0,refuse,3,3,
0.0,abandon,3,3,
0.0,start,4,4,
0.0,refuse,5,5,
0.0,abandon,5,5,
0.0,start,6,6,
0.0,refuse,7,7,
0.0,abandon,7,7,
0.0,refuse,1,8,
0.0,abandon,1,8,
0.0,refuse,3,9,
0.0,abandon,3,9,
0.0,start,5,10,
0.0,refuse,7,11,
0.0,abandon,7,11,
0.0,refuse,1,12,
0.0,abandon,1,12,
0.0,start,3,13,
0.0,refuse,7,14,
0.0,abandon,7,14,
0.0,refuse,1,15,
0.0,abandon,1,15,
0.0,refuse,7,16,
0.0,abandon,7,16,
0.0,refuse,1,17,
0.0,abandon,1,17,
0.0,refuse,7,18,
0.0,abandon,7,18,
0.0,refuse,1,19,
0.0,abandon,1,19,
0.0,start,7,20,
0.0,refuse,1,21,
0.0,abandon,1,21,
0.0,start,1,22,
6.849,conflict-at-land,3,13,
6.849,abandon,3,13,
6.849,refuse,3,23,
6.849,abandon,3,23,
6.849,refuse,3,24,
6.849,abandon,3,24,
6.849,refuse,3,25,
6.849,abandon,3,25,
6.849,refuse,3,26,
6.849,abandon,3,26,
6.849,refuse,3,27,
6.849,abandon,3,27,
6.849,refuse,3,28,
6.849,abandon,3,28,
6.849,refuse,3,29,
6.849,abandon,3,29,
6.849,refuse,3,30,
6.849,abandon,3,30,
6.849,start,3,31,
7.612,land,2,2,
7.612,refuse,2,32,
7.612,abandon,2,32,
7.612,refuse,2,33,
7.612,abandon,2,33,
7.612,refuse,2,34,
7.612,abandon,2,34,
7.612,refuse,2,35,
7.612,abandon,2,35,
7.612,start,2,36,
7.964,land,1,22,
7.964,refuse,1,37,
7.964,abandon,1,37,
7.964,refuse,1,38,
7.964,abandon,1,38,
7.964,refuse,1,39,
7.964,abandon,1,39,
7.964,refuse,1,40,
7.964,abandon,1,40,
7.964,refuse,1,41,
7.964,abandon,1,41,
7.964,refuse,1,42,
7.964,abandon,1,42,
7.964,start,1,43,
11.264,land,6,6,
11.264,refuse,6,44,
11.264,abandon,6,44,
11.264,refuse,6,45,
11.264,abandon,6,45,
11.264,refuse,6,46,
11.264,abandon,6,46,
11.264,start,6,47,
14.256,land,1,43,
14.256,refuse,1,48,
14.256,abandon,1,48,
14.256,refuse,1,49,
14.256,abandon,1,49,
14.256,refuse,1,50,
14.256,abandon,1,50,
14.256,refuse,1,51,
14.256,abandon,1,51,
14.256,refuse,1,52,
14.256,abandon,1,52,
14.256,refuse,1,53,
14.256,abandon,1,53,
14.256,start,1,54,
14.416,conflict-at-land,5,10,
14.416,abandon,5,10,
14.416,refuse,5,55,
14.416,abandon,5,55,
14.416,refuse,5,56,
14.416,abandon,5,56,
14.416,start,5,57,
16.422,land,3,31,
16.422,start,3,58,
25.649,conflict-at-land,5,57,
25.649,abandon,5,57,
25.649,refuse,5,59,
25.649,abandon,5,59,
25.649,refuse,5,60,
25.649,abandon,5,60,
25.649,start,5,61,
26.746,land,0,0,
26.746,start,0,62,
29.54,conflict-at-land,5,61,
29.54,abandon,5,61,
29.54,start,5,63,
36.83,land,3,58,
36.83,refuse,3,64,
36.83,abandon,3,64,
36.83,refuse,3,65,
36.83,abandon,3,65,
36.83,refuse,3,66,
36.83,abandon,3,66,
36.83,refuse,3,67,
36.83,abandon,3,67,
36.83,refuse,3,68,
36.83,abandon,3,68,
36.83,refuse,3,69,
36.83,abandon,3,69,
36.83,refuse,3,70,
36.83,abandon,3,70,
36.83,refuse,3,71,
36.83,abandon,3,71,
36.83,refuse,3,72,
36.83,abandon,3,72,
36.83,refuse,3,73,
36.83,abandon,3,73,
36.83,refuse,3,74,
36.83,abandon,3,74,
36.83,refuse,3,75,
36.83,abandon,3,75,
36.83,refuse,3,76,
36.83,abandon,3,76,
36.83,start,3,77,
41.982,conflict-at-land,0,62,
41.982,abandon,0,62,
41.982,refuse,0,78,
41.982,abandon,0,78,
41.982,refuse,0,79,
41.982,abandon,0,79,
41.982,start,0,80,
44.565,land,0,80,
44.565,refuse,0,81,
44.565,abandon,0,81,
44.565,refuse,0,82,
44.565,abandon,0,82,
44.565,refuse,0,83,
44.565,abandon,0,83,
44.565,refuse,0,84,
44.565,abandon,0,84,
44.565,refuse,0,85,
44.565,abandon,0,85,
44.565,refuse,0,86,
44.565,abandon,0,86,
44.565,refuse,0,87,
44.565,abandon,0,87,
44.565,refuse,0,88,
44.565,abandon,0,88,
44.565,refuse,0,89,
44.565,abandon,0,89,
44.565,refuse,0,90,
44.565,abandon,0,90,
44.565,refuse,0,91,
44.565,abandon,0,91,
44.565,start,0,92,
44.655,conflict-at-land,6,47,
44.655,abandon,6,47,
44.655,refuse,6,93,
44.655,abandon,6,93,
44.655,start,6,94,
48.894,conflict-at-land,0,92,
48.894,abandon,0,92,
48.894,start,0,95,
48.954,land,6,94,
48.954,refuse,6,96,
48.954,abandon,6,96,
48.954,start,6,97,
52.888,land,7,20,
52.888,start,7,98,
59.647,land,6,97,
59.647,refuse,6,99,
59.647,abandon,6,99,
59.647,refuse,6,100,
59.647,abandon,6,100,
59.647,refuse,6,101,
59.647,abandon,6,101,
59.647,start,6,102,
60.641,land,0,95,
60.641,start,0,103,
62.937,conflict-at-land,3,77,
62.937,abandon,3,77,
62.937,refuse,3,104,
62.937,abandon,3,104,
62.937,refuse,3,105,
62.937,abandon,3,105,
62.937,refuse,3,106,
62.937,abandon,3,106,
62.937,refuse,3,107,
62.937,abandon,3,107,
62.937,refuse,3,108,
62.937,abandon,3,108,
62.937,refuse,3,109,
62.937,abandon,3,109,
62.937,refuse,3,110,
62.937,abandon,3,110,
62.937,refuse,3,111,
62.937,abandon,3,111,
62.937,refuse,3,112,
62.937,abandon,3,112,
62.937,refuse,3,113,
62.937,abandon,3,113,
62.937,refuse,3,114,
62.937,abandon,3,114,
62.937,start,3,115,
66.808,land,7,98,
66.808,refuse,7,116,
66.808,abandon,7,116,
66.808,refuse,7,117,
66.808,abandon,7,117,
66.808,refuse,7,118,
66.808,abandon,7,118,
66.808,refuse,7,119,
66.808,abandon,7,119,
66.808,refuse,7,120,
66.808,abandon,7,120,
66.808,refuse,7,121,
66.808,abandon,7,121,
66.808,refuse,7,122,
66.808,abandon,7,122,
66.808,refuse,7,123,
66.808,abandon,7,123,
66.808,refuse,7,124,
66.808,abandon,7,124,
66.808,start,7,125,
74.468,land,6,102,
74.468,refuse,6,126,
74.468,abandon,6,126,
74.468,refuse,6,127,
74.468,abandon,6,127,
74.468,refuse,6,128,
74.468,abandon,6,128,
74.468,start,6,129,
76.908,land,7,125,
76.908,refuse,7,130,
76.908,abandon,7,130,
76.908,refuse,7,131,
76.908,abandon,7,131,
76.908,refuse,7,132,
76.908,abandon,7,132,
76.908,start,7,133,
77.511,conflict-at-land,1,54,
77.511,abandon,1,54,
77.511,start,1,134,
84.549,land,1,134,
84.549,refuse,1,135,
84.549,abandon,1,135,
84.549,refuse,1,136,
84.549,abandon,1,136,
84.549,refuse,1,137,
84.549,abandon,1,137,
84.549,start,1,138,
87.808,land,3,115,
87.808,start,3,139,
90.586,land,1,138,
90.586,start,1,140,
90.611,conflict-at-land,2,36,
90.611,abandon,2,36,
90.611,start,2,141,
95.465,land,2,141,
95.465,start,2,142,
97.214,land,1,140,
97.214,start,1,143,
98.391,land,7,133,
98.391,start,7,144,
99.501,land,3,139,
99.501,start,3,145,
101.812,land,7,144,
101.812,start,7,146,
102.882,land,2,142,
102.882,start,2,147,
104.282,land,1,143,
104.282,start,1,148,
105.686,conflict-at-land,4,4,
105.686,abandon,4,4,
105.686,start,4,149,
108.759,land,7,146,
108.759,start,7,150,
109.756,land,1,148,
109.756,start,1,151,
109.925,land,2,147,
109.925,start,2,152,
113.418,land,4,149,
113.418,start,4,153,
114.428,land,3,145,
114.428,start,3,154,
114.536,land,1,151,
114.536,refuse,1,155,
114.536,abandon,1,155,
114.536,start,1,156,
116.422,land,7,150,
116.422,start,7,157,
116.84,land,2,152,
116.84,refuse,2,158,
116.84,abandon,2,158,
116.84,refuse,2,159,
116.84,abandon,2,159,
116.84,refuse,2,160,
116.84,abandon,2,160,
116.84,refuse,2,161,
116.84,abandon,2,161,
116.84,refuse,2,162,
116.84,abandon,2,162,
116.84,refuse,2,163,
116.84,abandon,2,163,
116.84,refuse,2,164,
116.84,abandon,2,164,
116.84,refuse,2,165,
116.84,abandon,2,165,
116.84,refuse,2,166,
116.84,abandon,2,166,
116.84,refuse,2,167,
116.84,abandon,2,167,
116.84,refuse,2,168,
116.84,abandon,2,168,
116.84,refuse,2,169,
116.84,abandon,2,169,
116.84,start,2,170,
120.192,land,4,153,
120.192,start,4,171,
120.29,land,3,154,
120.29,start,3,172,
127.483,land,3,172,
127.483,refuse,3,173,
127.483,abandon,3,173,
127.483,refuse,3,174,
127.483,abandon,3,174,
127.483,refuse,3,175,
127.483,abandon,3,175,
127.483,refuse,3,176,
127.483,abandon,3,176,
127.483,refuse,3,177,
127.483,abandon,3,177,
127.483,refuse,3,178,
127.483,abandon,3,178,
127.483,refuse,3,179,
127.483,abandon,3,179,
127.483,refuse,3,180,
127.483,abandon,3,180,
127.483,refuse,3,181,
127.483,abandon,3,181,
127.483,refuse,3,182,
127.483,abandon,3,182,
127.483,refuse,3,183,
127.483,abandon,3,183,
127.483,refuse,3,184,
127.483,abandon,3,184,
127.483,refuse,3,185,
127.483,abandon,3,185,
127.483,refuse,3,186,
127.483,abandon,3,186,
127.483,refuse,3,187,
127.483,abandon,3,187,
127.483,refuse,3,188,
127.483,abandon,3,188,
127.483,refuse,3,189,
127.483,abandon,3,189,
127.483,refuse,3,190,
127.483,abandon,3,190,
127.483,refuse,3,191,
127.483,abandon,3,191,
127.483,start,3,192,
132.957,conflict-at-land,3,192,
132.957,abandon,3,192,
132.957,refuse,3,193,
132.957,abandon,3,193,
132.957,start,3,194,
140.335,conflict-at-land,3,194,
140.335,abandon,3,194,
140.335,start,3,195,
140.402,conflict-at-land,5,63,
140.402,abandon,5,63,
140.402,refuse,5,196,
140.402,abandon,5,196,
140.402,refuse,5,197,
140.402,abandon,5,197,
140.402,refuse,5,198,
140.402,abandon,5,198,
140.402,refuse,5,199,
140.402,abandon,5,199,
141.203,conflict-at-land,4,171,
141.203,abandon,4,171,
143.192,conflict-at-land,2,170,
143.192,abandon,2,170,
153.757,land,6,129,
170.091,conflict-at-land,3,195,
170.091,abandon,3,195,
231.237,conflict-at-land,0,103,
231.237,abandon,0,103,
279.487,conflict-at-land,1,156,
279.487,abandon,1,156,
826.144,conflict-at-land,7,157,
826.144,abandon,7,157,
