time,event,agent_id,task_id,note
0.0,start,0,0,
0.0,refuse,1,1,
0.0,start,2,2,
0.0,start,3,3,
7.251,land,2,2,
7.251,refuse,2,4,
15.0,refuse,1,1,
16.393,land,0,0,
16.393,refuse,0,5,
22.251,refuse,2,4,
30.0,refuse,1,1,
31.393,refuse,0,5,
37.251,refuse,2,4,
45.0,refuse,1,1,
46.393,refuse,0,5,
52.251,refuse,2,4,
60.0,refuse,1,1,
61.393,refuse,0,5,
67.251,refuse,2,4,
75.0,refuse,1,1,
76.393,refuse,0,5,
82.251,refuse,2,4,
90.0,refuse,1,1,
91.393,refuse,0,5,
97.251,refuse,2,4,
105.0,refuse,1,1,
106.393,refuse,0,5,
112.251,refuse,2,4,
120.0,refuse,1,1,
121.393,refuse,0,5,
127.251,refuse,2,4,
135.0,refuse,1,1,
136.393,refuse,0,5,
142.251,refuse,2,4,
150.0,refuse,1,1,
151.393,refuse,0,5,
157.251,refuse,2,4,
165.0,refuse,1,1,
166.393,refuse,0,5,
172.251,refuse,2,4,
180.0,refuse,1,1,
181.393,refuse,0,5,
187.251,refuse,2,4,
195.0,refuse,1,1,
196.393,refuse,0,5,
202.251,refuse,2,4,
210.0,refuse,1,1,
211.393,refuse,0,5,
217.251,refuse,2,4,
225.0,refuse,1,1,
226.393,refuse,0,5,
232.251,refuse,2,4,
240.0,refuse,1,1,
241.393,refuse,0,5,
247.251,refuse,2,4,
255.0,refuse,1,1,
256.393,refuse,0,5,
262.251,refuse,2,4,
270.0,refuse,1,1,
271.393,refuse,0,5,
277.251,refuse,2,4,
285.0,refuse,1,1,
286.393,refuse,0,5,
292.251,refuse,2,4,
300.0,refuse,1,1,
301.393,refuse,0,5,
307.251,refuse,2,4,
315.0,refuse,1,1,
316.393,refuse,0,5,
322.251,refuse,2,4,
330.0,refuse,1,1,
331.393,refuse,0,5,
337.251,refuse,2,4,
345.0,refuse,1,1,
346.393,refuse,0,5,
352.251,refuse,2,4,
360.0,refuse,1,1,
361.393,refuse,0,5,
367.251,refuse,2,4,
375.0,refuse,1,1,
376.393,refuse,0,5,
382.251,refuse,2,4,
390.0,refuse,1,1,
391.393,refuse,0,5,
397.251,refuse,2,4,
405.0,refuse,1,1,
406.393,refuse,0,5,
412.251,refuse,2,4,
420.0,refuse,1,1,
421.393,refuse,0,5,
427.251,refuse,2,4,
435.0,refuse,1,1,
436.393,refuse,0,5,
442.251,refuse,2,4,
450.0,refuse,1,1,
451.393,refuse,0,5,
457.251,refuse,2,4,
465.0,refuse,1,1,
466.393,refuse,0,5,
472.251,refuse,2,4,
480.0,refuse,1,1,
481.393,refuse,0,5,
487.251,refuse,2,4,
495.0,refuse,1,1,
496.393,refuse,0,5,
502.251,refuse,2,4,
510.0,refuse,1,1,
511.393,refuse,0,5,
517.251,refuse,2,4,
525.0,refuse,1,1,
526.393,refuse,0,5,
532.251,refuse,2,4,
540.0,refuse,1,1,
541.393,refuse,0,5,
547.251,refuse,2,4,
555.0,refuse,1,1,
556.393,refuse,0,5,
562.251,refuse,2,4,
570.0,refuse,1,1,
571.393,refuse,0,5,
577.251,refuse,2,4,
585.0,refuse,1,1,
586.393,refuse,0,5,
592.251,refuse,2,4,
600.0,refuse,1,1,
601.393,refuse,0,5,
607.251,refuse,2,4,
615.0,refuse,1,1,
616.393,refuse,0,5,
622.251,refuse,2,4,
630.0,refuse,1,1,
631.393,refuse,0,5,
637.251,refuse,2,4,
645.0,refuse,1,1,
646.393,refuse,0,5,
652.251,refuse,2,4,
660.0,refuse,1,1,
661.393,refuse,0,5,
667.251,refuse,2,4,
675.0,refuse,1,1,
676.393,refuse,0,5,
682.251,refuse,2,4,
690.0,refuse,1,1,
691.393,refuse,0,5,
697.251,refuse,2,4,
705.0,refuse,1,1,
706.393,refuse,0,5,
712.251,refuse,2,4,
720.0,refuse,1,1,
721.393,refuse,0,5,
727.251,refuse,2,4,
735.0,refuse,1,1,
736.393,refuse,0,5,
742.251,refuse,2,4,
750.0,refuse,1,1,
751.393,refuse,0,5,
757.251,refuse,2,4,
765.0,refuse,1,1,
766.393,refuse,0,5,
772.251,refuse,2,4,
780.0,refuse,1,1,
781.393,refuse,0,5,
787.251,refuse,2,4,
795.0,refuse,1,1,
796.393,refuse,0,5,
802.251,refuse,2,4,
810.0,refuse,1,1,
811.393,refuse,0,5,
817.251,refuse,2,4,
825.0,refuse,1,1,
826.393,refuse,0,5,
832.251,refuse,2,4,
840.0,refuse,1,1,
841.393,refuse,0,5,
847.251,refuse,2,4,
855.0,refuse,1,1,
856.393,refuse,0,5,
862.251,refuse,2,4,
870.0,refuse,1,1,
871.393,refuse,0,5,
877.251,refuse,2,4,
885.0,refuse,1,1,
886.393,refuse,0,5,
892.251,refuse,2,4,
900.0,refuse,1,1,
901.393,refuse,0,5,
907.251,refuse,2,4,
915.0,refuse,1,1,
916.393,refuse,0,5,
922.251,refuse,2,4,
930.0,refuse,1,1,
931.393,refuse,0,5,
937.251,refuse,2,4,
945.0,refuse,1,1,
946.393,refuse,0,5,
952.251,refuse,2,4,
960.0,refuse,1,1,
961.393,refuse,0,5,
967.251,refuse,2,4,
975.0,refuse,1,1,
976.393,refuse,0,5,
982.251,refuse,2,4,
990.0,refuse,1,1,
991.393,refuse,0,5,
997.251,refuse,2,4,
1005.0,refuse,1,1,
1006.393,refuse,0,5,
1012.251,refuse,2,4,
1020.0,refuse,1,1,
1021.393,refuse,0,5,
1027.251,refuse,2,4,
1035.0,refuse,1,1,
1036.393,refuse,0,5,
1042.251,refuse,2,4,
1050.0,refuse,1,1,
1051.393,refuse,0,5,
1057.251,refuse,2,4,
1065.0,refuse,1,1,
1066.393,refuse,0,5,
1072.251,refuse,2,4,
1080.0,refuse,1,1,
1081.393,refuse,0,5,
1087.251,refuse,2,4,
1095.0,refuse,1,1,
1096.393,refuse,0,5,
1102.251,refuse,2,4,
1110.0,refuse,1,1,
1111.393,refuse,0,5,
1117.251,refuse,2,4,
1125.0,refuse,1,1,
1126.393,refuse,0,5,
1132.251,refuse,2,4,
1140.0,refuse,1,1,
1141.393,refuse,0,5,
1147.251,refuse,2,4,
1155.0,refuse,1,1,
1156.393,refuse,0,5,
1162.251,refuse,2,4,
1170.0,refuse,1,1,
1171.393,refuse,0,5,
1177.251,refuse,2,4,
1185.0,refuse,1,1,
1186.393,refuse,0,5,
1192.251,refuse,2,4,
1200.0,refuse,1,1,
1201.393,refuse,0,5,
1207.251,refuse,2,4,
1215.0,refuse,1,1,
1216.393,refuse,0,5,
1222.251,refuse,2,4,
1230.0,refuse,1,1,
1231.393,refuse,0,5,
1237.251,refuse,2,4,
1245.0,refuse,1,1,
1246.393,refuse,0,5,
1252.251,refuse,2,4,
1260.0,refuse,1,1,
1261.393,refuse,0,5,
1267.251,refuse,2,4,
1275.0,refuse,1,1,
1276.393,refuse,0,5,
1282.251,refuse,2,4,
1290.0,refuse,1,1,
1291.393,refuse,0,5,
1297.251,refuse,2,4,
1305.0,refuse,1,1,
1306.393,refuse,0,5,
1312.251,refuse,2,4,
1320.0,refuse,1,1,
1321.393,refuse,0,5,
1327.251,refuse,2,4,
1335.0,refuse,1,1,
1336.393,refuse,0,5,
1342.251,refuse,2,4,
1350.0,refuse,1,1,
1351.393,refuse,0,5,
1357.251,refuse,2,4,
1365.0,refuse,1,1,
1366.393,refuse,0,5,
1372.251,refuse,2,4,
1380.0,refuse,1,1,
1381.393,refuse,0,5,
1387.251,refuse,2,4,
1395.0,refuse,1,1,
1396.393,refuse,0,5,
1402.251,refuse,2,4,
1410.0,refuse,1,1,
1411.393,refuse,0,5,
1417.251,refuse,2,4,
1425.0,refuse,1,1,
1426.393,refuse,0,5,
1432.251,refuse,2,4,
1440.0,refuse,1,1,
1441.393,refuse,0,5,
1447.251,refuse,2,4,
1455.0,refuse,1,1,
1456.393,refuse,0,5,
1462.251,refuse,2,4,
1470.0,refuse,1,1,
1471.393,refuse,0,5,
1477.251,refuse,2,4,
1485.0,refuse,1,1,
1486.393,refuse,0,5,
1492.251,refuse,2,4,
1500.0,refuse,1,1,
1501.393,refuse,0,5,
1507.251,refuse,2,4,
1515.0,refuse,1,1,
1516.393,refuse,0,5,
1522.251,refuse,2,4,
1530.0,refuse,1,1,
1531.393,refuse,0,5,
1537.251,refuse,2,4,
1545.0,refuse,1,1,
1546.393,refuse,0,5,
1552.251,refuse,2,4,
1560.0,refuse,1,1,
1561.393,refuse,0,5,
1567.251,refuse,2,4,
1575.0,refuse,1,1,
1576.393,refuse,0,5,
1582.251,refuse,2,4,
1590.0,refuse,1,1,
1591.393,refuse,0,5,
1597.251,refuse,2,4,
1605.0,refuse,1,1,
1606.393,refuse,0,5,
1612.251,refuse,2,4,
1620.0,refuse,1,1,
1621.393,refuse,0,5,
1627.251,refuse,2,4,
1635.0,refuse,1,1,
1636.393,refuse,0,5,
1642.251,refuse,2,4,
1650.0,refuse,1,1,
1651.393,refuse,0,5,
1657.251,refuse,2,4,
1665.0,refuse,1,1,
1666.393,refuse,0,5,
1672.251,refuse,2,4,
1680.0,refuse,1,1,
1681.393,refuse,0,5,
1687.251,refuse,2,4,
1695.0,refuse,1,1,
1696.393,refuse,0,5,
1702.251,refuse,2,4,
1710.0,refuse,1,1,
1711.393,refuse,0,5,
1717.251,refuse,2,4,
1725.0,refuse,1,1,
1726.393,refuse,0,5,
1732.251,refuse,2,4,
1740.0,refuse,1,1,
1741.393,refuse,0,5,
1747.251,refuse,2,4,
1755.0,refuse,1,1,
1756.393,refuse,0,5,
1762.251,refuse,2,4,
1770.0,refuse,1,1,
1771.393,refuse,0,5,
1777.251,refuse,2,4,
1785.0,refuse,1,1,
1786.393,refuse,0,5,
1792.251,refuse,2,4,
1800.0,refuse,1,1,
1801.393,refuse,0,5,
1807.251,refuse,2,4,
1815.0,refuse,1,1,
1816.393,refuse,0,5,
1822.251,refuse,2,4,
1830.0,refuse,1,1,
1831.393,refuse,0,5,
1837.251,refuse,2,4,
1845.0,refuse,1,1,
1846.393,refuse,0,5,
1852.251,refuse,2,4,
1860.0,refuse,1,1,
1861.393,refuse,0,5,
1867.251,refuse,2,4,
1875.0,refuse,1,1,
1876.393,refuse,0,5,
1882.251,refuse,2,4,
1890.0,refuse,1,1,
1891.393,refuse,0,5,
1897.251,refuse,2,4,
1905.0,refuse,1,1,
1906.393,refuse,0,5,
1912.251,refuse,2,4,
1920.0,refuse,1,1,
1921.393,refuse,0,5,
1927.251,refuse,2,4,
1935.0,refuse,1,1,
1936.393,refuse,0,5,
1942.251,refuse,2,4,
1950.0,refuse,1,1,
1951.393,refuse,0,5,
1957.251,refuse,2,4,
1965.0,refuse,1,1,
1966.393,refuse,0,5,
1972.251,refuse,2,4,
1980.0,refuse,1,1,
1981.393,refuse,0,5,
1987.251,refuse,2,4,
1995.0,refuse,1,1,
1996.393,refuse,0,5,
2002.251,refuse,2,4,
2010.0,refuse,1,1,
2011.393,refuse,0,5,
2017.251,refuse,2,4,
2025.0,refuse,1,1,
2026.393,refuse,0,5,
2032.251,refuse,2,4,
2040.0,refuse,1,1,
2041.393,refuse,0,5,
2047.251,refuse,2,4,
2055.0,refuse,1,1,
2056.393,refuse,0,5,
2062.251,refuse,2,4,
2070.0,refuse,1,1,
2071.393,refuse,0,5,
2077.251,refuse,2,4,
2085.0,refuse,1,1,
2086.393,refuse,0,5,
2092.251,refuse,2,4,
2100.0,refuse,1,1,
2101.393,refuse,0,5,
2107.251,refuse,2,4,
2115.0,refuse,1,1,
2116.393,refuse,0,5,
2122.251,refuse,2,4,
2130.0,refuse,1,1,
2131.393,refuse,0,5,
2137.251,refuse,2,4,
2145.0,refuse,1,1,
2146.393,refuse,0,5,
2152.251,refuse,2,4,
2160.0,refuse,1,1,
2161.393,refuse,0,5,
2167.251,refuse,2,4,
2175.0,refuse,1,1,
2176.393,refuse,0,5,
2182.251,refuse,2,4,
2190.0,refuse,1,1,
2191.393,refuse,0,5,
2197.251,refuse,2,4,
2205.0,refuse,1,1,
2206.393,refuse,0,5,
2212.251,refuse,2,4,
2220.0,refuse,1,1,
2221.393,refuse,0,5,
2227.251,refuse,2,4,
2235.0,refuse,1,1,
2236.393,refuse,0,5,
2242.251,refuse,2,4,
2250.0,refuse,1,1,
2251.393,refuse,0,5,
2257.251,refuse,2,4,
2265.0,refuse,1,1,
2266.393,refuse,0,5,
2272.251,refuse,2,4,
2280.0,refuse,1,1,
2281.393,refuse,0,5,
2287.251,refuse,2,4,
2295.0,refuse,1,1,
2296.393,refuse,0,5,
2302.251,refuse,2,4,
2310.0,refuse,1,1,
2311.393,refuse,0,5,
2317.251,refuse,2,4,
2325.0,refuse,1,1,
2326.393,refuse,0,5,
2332.251,refuse,2,4,
2340.0,refuse,1,1,
2341.393,refuse,0,5,
2347.251,refuse,2,4,
2355.0,refuse,1,1,
2356.393,refuse,0,5,
2362.251,refuse,2,4,
2370.0,refuse,1,1,
2371.393,refuse,0,5,
2377.251,refuse,2,4,
2385.0,refuse,1,1,
2386.393,refuse,0,5,
2392.251,refuse,2,4,
2400.0,refuse,1,1,
2401.393,refuse,0,5,
2407.251,refuse,2,4,
2415.0,refuse,1,1,
2416.393,refuse,0,5,
2422.251,refuse,2,4,
2430.0,refuse,1,1,
2431.393,refuse,0,5,
2437.251,refuse,2,4,
2445.0,refuse,1,1,
2446.393,refuse,0,5,
2452.251,refuse,2,4,
