time,event,agent_id,task_id,note
0.0,start,0,0,
0.0,refuse,1,1,
0.0,abandon,1,1,
0.0,start,2,2,
0.0,start,3,3,
0.0,refuse,1,4,
0.0,abandon,1,4,
0.0,refuse,1,5,
0.0,abandon,1,5,
0.0,refuse,1,6,
0.0,abandon,1,6,
0.0,start,1,7,
6.758,land,1,7,
6.758,start,1,8,
7.612,land,2,2,
7.612,refuse,2,9,
7.612,abandon,2,9,
7.612,refuse,2,10,
7.612,abandon,2,10,
7.612,refuse,2,11,
7.612,abandon,2,11,
7.612,refuse,2,12,
7.612,abandon,2,12,
7.612,refuse,2,13,
7.612,abandon,2,13,
7.612,refuse,2,14,
7.612,abandon,2,14,
7.612,refuse,2,15,
7.612,abandon,2,15,
7.612,refuse,2,16,
7.612,abandon,2,16,
7.612,refuse,2,17,
7.612,abandon,2,17,
7.612,start,2,18,
24.736,land,2,18,
24.736,refuse,2,19,
24.736,abandon,2,19,
24.736,start,2,20,
26.746,land,0,0,
26.746,refuse,0,21,
26.746,abandon,0,21,
26.746,start,0,22,
34.71,land,0,22,
34.71,refuse,0,23,
34.71,abandon,0,23,
34.71,refuse,0,24,
34.71,abandon,0,24,
34.71,refuse,0,25,
34.71,abandon,0,25,
34.71,start,0,26,
41.091,conflict-at-land,0,26,
41.091,abandon,0,26,
41.091,refuse,0,27,
41.091,abandon,0,27,
41.091,refuse,0,28,
41.091,abandon,0,28,
41.091,refuse,0,29,
41.091,abandon,0,29,
41.091,refuse,0,30,
41.091,abandon,0,30,
41.091,start,0,31,
50.668,land,0,31,
50.668,refuse,0,32,
50.668,abandon,0,32,
50.668,refuse,0,33,
50.668,abandon,0,33,
50.668,refuse,0,34,
50.668,abandon,0,34,
50.668,refuse,0,35,
50.668,abandon,0,35,
50.668,refuse,0,36,
50.668,abandon,0,36,
50.668,refuse,0,37,
50.668,abandon,0,37,
50.668,refuse,0,38,
50.668,abandon,0,38,
50.668,refuse,0,39,
50.668,abandon,0,39,
50.668,refuse,0,40,
50.668,abandon,0,40,
50.668,refuse,0,41,
50.668,abandon,0,41,
50.668,start,0,42,
56.96,conflict-at-land,0,42,
56.96,abandon,0,42,
56.96,start,0,43,
61.731,land,0,43,
61.731,refuse,0,44,
61.731,abandon,0,44,
61.731,refuse,0,45,
61.731,abandon,0,45,
61.731,refuse,0,46,
61.731,abandon,0,46,
61.731,start,0,47,
77.624,land,2,20,
77.624,refuse,2,48,
77.624,abandon,2,48,
77.624,refuse,2,49,
77.624,abandon,2,49,
77.624,start,2,50,
88.858,conflict-at-land,2,50,
88.858,abandon,2,50,
88.858,refuse,2,51,
88.858,abandon,2,51,
88.858,refuse,2,52,
88.858,abandon,2,52,
88.858,refuse,2,53,
88.858,abandon,2,53,
88.858,refuse,2,54,
88.858,abandon,2,54,
88.858,refuse,2,55,
88.858,abandon,2,55,
88.858,start,2,56,
101.983,conflict-at-land,0,47,
101.983,abandon,0,47,
101.983,refuse,0,57,
101.983,abandon,0,57,
101.983,start,0,58,
125.328,land,0,58,
125.328,refuse,0,59,
125.328,abandon,0,59,
125.328,refuse,0,60,
125.328,abandon,0,60,
125.328,refuse,0,61,
125.328,abandon,0,61,
125.328,start,0,62,
140.563,conflict-at-land,0,62,
140.563,abandon,0,62,
140.563,refuse,0,63,
140.563,abandon,0,63,
140.563,refuse,0,64,
140.563,abandon,0,64,
140.563,refuse,0,65,
140.563,abandon,0,65,
140.563,refuse,0,66,
140.563,abandon,0,66,
140.563,refuse,0,67,
140.563,abandon,0,67,
140.563,refuse,0,68,
140.563,abandon,0,68,
140.563,refuse,0,69,
140.563,abandon,0,69,
140.563,refuse,0,70,
140.563,abandon,0,70,
140.563,refuse,0,71,
140.563,abandon,0,71,
140.563,refuse,0,72,
140.563,abandon,0,72,
140.563,refuse,0,73,
140.563,abandon,0,73,
140.563,refuse,0,74,
140.563,abandon,0,74,
140.563,refuse,0,75,
140.563,abandon,0,75,
140.563,refuse,0,76,
140.563,abandon,0,76,
140.563,refuse,0,77,
140.563,abandon,0,77,
140.563,refuse,0,78,
140.563,abandon,0,78,
140.563,refuse,0,79,
140.563,abandon,0,79,
140.563,start,0,80,
143.643,land,0,80,
143.643,start,0,81,
152.345,conflict-at-land,0,81,
152.345,abandon,0,81,
152.345,refuse,0,82,
152.345,abandon,0,82,
152.345,refuse,0,83,
152.345,abandon,0,83,
152.345,refuse,0,84,
152.345,abandon,0,84,
152.345,refuse,0,85,
152.345,abandon,0,85,
152.345,refuse,0,86,
152.345,abandon,0,86,
152.345,refuse,0,87,
152.345,abandon,0,87,
152.345,start,0,88,
227.247,conflict-at-land,0,88,
227.247,abandon,0,88,
227.247,refuse,0,89,
227.247,abandon,0,89,
227.247,refuse,0,90,
227.247,abandon,0,90,
227.247,refuse,0,91,
227.247,abandon,0,91,
227.247,start,0,92,
231.576,conflict-at-land,0,92,
231.576,abandon,0,92,
231.576,refuse,0,93,
231.576,abandon,0,93,
231.576,start,0,94,
235.875,land,0,94,
235.875,start,0,95,
247.622,land,0,95,
247.622,start,0,96,
258.315,land,0,96,
258.315,start,0,97,
269.452,land,0,97,
269.452,start,0,98,
287.978,land,0,98,
287.978,start,0,99,
321.488,land,0,99,
321.488,start,0,100,
327.705,land,0,100,
327.705,start,0,101,
340.33,land,0,101,
340.33,start,0,102,
348.902,land,0,102,
348.902,start,0,103,
499.277,conflict-at-land,0,103,
499.277,abandon,0,103,
499.277,refuse,0,104,
499.277,abandon,0,104,
499.277,refuse,0,105,
499.277,abandon,0,105,
499.277,refuse,0,106,
499.277,abandon,0,106,
499.277,refuse,0,107,
499.277,abandon,0,107,
499.277,refuse,0,108,
499.277,abandon,0,108,
499.277,refuse,0,109,
499.277,abandon,0,109,
499.277,refuse,0,110,
499.277,abandon,0,110,
499.277,refuse,0,111,
499.277,abandon,0,111,
499.277,refuse,0,112,
499.277,abandon,0,112,
499.277,refuse,0,113,
499.277,abandon,0,113,
499.277,refuse,0,114,
499.277,abandon,0,114,
499.277,start,0,115,
518.045,land,0,115,
518.045,start,0,116,
530.119,conflict-at-land,0,116,
530.119,abandon,0,116,
530.119,start,0,117,
537.914,conflict-at-land,0,117,
537.914,abandon,0,117,
537.914,start,0,118,
544.542,conflict-at-land,0,118,
544.542,abandon,0,118,
544.542,refuse,0,119,
544.542,abandon,0,119,
544.542,start,0,120,
573.67,conflict-at-land,0,120,
573.67,abandon,0,120,
573.67,start,0,121,
647.838,land,0,121,
647.838,start,0,122,
661.975,land,0,122,
661.975,start,0,123,
668.819,conflict-at-land,0,123,
668.819,abandon,0,123,
668.819,start,0,124,
672.551,land,0,124,
672.551,start,0,125,
686.444,land,0,125,
686.444,refuse,0,126,
686.444,abandon,0,126,
686.444,refuse,0,127,
686.444,abandon,0,127,
686.444,start,0,128,
689.965,land,0,128,
689.965,start,0,129,
721.522,conflict-at-land,2,56,
721.522,abandon,2,56,
721.522,start,2,130,
733.119,land,2,130,
733.119,refuse,2,131,
733.119,abandon,2,131,
733.119,start,2,132,
752.276,land,2,132,
752.276,start,2,133,
771.397,land,2,133,
771.397,start,2,134,
781.769,land,2,134,
781.769,start,2,135,
788.544,conflict-at-land,2,135,
788.544,abandon,2,135,
788.544,start,2,136,
791.227,land,0,129,
791.227,refuse,0,137,
791.227,abandon,0,137,
791.227,start,0,138,
797.335,conflict-at-land,2,136,
797.335,abandon,2,136,
797.335,start,2,139,
797.337,land,0,138,
797.337,start,0,140,
804.866,land,0,140,
804.866,start,0,141,
806.281,land,2,139,
806.281,start,2,142,
810.869,land,0,141,
810.869,start,0,143,
813.475,land,2,142,
813.475,start,2,144,
816.343,land,0,143,
816.343,start,0,145,
817.164,land,2,144,
817.164,start,2,146,
823.024,land,2,146,
823.024,start,2,147,
829.267,land,2,147,
829.267,start,2,148,
831.221,land,0,145,
831.221,start,0,149,
836.78,land,2,148,
836.78,start,2,150,
838.027,land,0,149,
838.027,start,0,151,
842.732,land,2,150,
842.732,start,2,152,
843.025,land,0,151,
843.025,start,0,153,
848.101,land,2,152,
848.101,start,2,154,
849.744,land,0,153,
849.744,refuse,0,155,
849.744,abandon,0,155,
849.744,start,0,156,
852.899,land,2,154,
852.899,refuse,2,157,
852.899,abandon,2,157,
852.899,refuse,2,158,
852.899,abandon,2,158,
852.899,refuse,2,159,
852.899,abandon,2,159,
852.899,start,2,160,
971.701,conflict-at-land,2,160,
971.701,abandon,2,160,
971.701,start,2,161,
986.663,conflict-at-land,2,161,
986.663,abandon,2,161,
986.663,refuse,2,162,
986.663,abandon,2,162,
986.663,start,2,163,
1007.92,conflict-at-land,2,163,
1007.92,abandon,2,163,
1007.92,start,2,164,
1015.567,conflict-at-land,2,164,
1015.567,abandon,2,164,
1015.567,start,2,165,
1022.309,conflict-at-land,2,165,
1022.309,abandon,2,165,
1022.309,start,2,166,
1034.34,conflict-at-land,2,166,
1034.34,abandon,2,166,
1034.34,start,2,167,
1046.468,conflict-at-land,2,167,
1046.468,abandon,2,167,
1046.468,start,2,168,
1051.395,conflict-at-land,0,156,
1051.395,abandon,0,156,
1051.395,refuse,0,169,
1051.395,abandon,0,169,
1051.395,refuse,0,170,
1051.395,abandon,0,170,
1051.395,start,0,171,
1073.504,conflict-at-land,0,171,
1073.504,abandon,0,171,
1073.504,start,0,172,
1078.826,land,0,172,
1078.826,start,0,173,
1088.722,conflict-at-land,0,173,
1088.722,abandon,0,173,
1088.722,start,0,174,
1094.765,conflict-at-land,0,174,
1094.765,abandon,0,174,
1094.765,refuse,0,175,
1094.765,abandon,0,175,
1094.765,refuse,0,176,
1094.765,abandon,0,176,
1094.765,refuse,0,177,
1094.765,abandon,0,177,
1094.765,refuse,0,178,
1094.765,abandon,0,178,
1094.765,refuse,0,179,
1094.765,abandon,0,179,
1094.765,refuse,0,180,
1094.765,abandon,0,180,
1094.765,refuse,0,181,
1094.765,abandon,0,181,
1094.765,refuse,0,182,
1094.765,abandon,0,182,
1094.765,refuse,0,183,
1094.765,abandon,0,183,
1094.765,refuse,0,184,
1094.765,abandon,0,184,
1094.765,refuse,0,185,
1094.765,abandon,0,185,
1094.765,refuse,0,186,
1094.765,abandon,0,186,
1094.765,refuse,0,187,
1094.765,abandon,0,187,
1094.765,refuse,0,188,
1094.765,abandon,0,188,
1094.765,refuse,0,189,
1094.765,abandon,0,189,
1094.765,refuse,0,190,
1094.765,abandon,0,190,
1094.765,start,0,191,
1144.644,conflict-at-land,2,168,
1144.644,abandon,2,168,
1144.644,refuse,2,192,
1144.644,abandon,2,192,
1144.644,refuse,2,193,
1144.644,abandon,2,193,
1144.644,refuse,2,194,
1144.644,abandon,2,194,
1144.644,refuse,2,195,
1144.644,abandon,2,195,
1144.644,refuse,2,196,
1144.644,abandon,2,196,
1144.644,refuse,2,197,
1144.644,abandon,2,197,
1144.644,refuse,2,198,
1144.644,abandon,2,198,
1144.644,refuse,2,199,
1144.644,abandon,2,199,
1264.932,land,0,191,
1633.73,conflict-at-land,3,3,
1633.73,abandon,3,3,
38878.402,conflict-at-land,1,8,
38878.402,abandon,1,8,
