time,event,agent_id,task_id,note
0.0,start,0,0,
0.0,start,1,1,
26.746,land,0,0,
26.746,start,0,2,
31.15,land,0,2,
31.15,start,0,3,
129.407,land,1,1,
129.407,start,1,4,
302.394,land,1,4,
302.394,start,1,5,
1309.269,merge-conflict,1,5,
1319.269,merge-conflict,1,5,
1329.269,merge-conflict,1,5,
1339.269,merge-conflict,1,5,
1339.269,abandon,1,5,
1339.269,start,1,6,
1355.797,merge-conflict,1,6,
1365.797,merge-conflict,1,6,
1375.797,merge-conflict,1,6,
1385.797,merge-conflict,1,6,
1385.797,abandon,1,6,
1385.797,start,1,7,
1393.761,merge-conflict,1,7,
1403.761,merge-conflict,1,7,
1413.761,merge-conflict,1,7,
1423.761,merge-conflict,1,7,
1423.761,abandon,1,7,
1423.761,start,1,8,
1702.705,merge-conflict,0,3,
1712.705,merge-conflict,0,3,
1722.705,merge-conflict,0,3,
1732.705,merge-conflict,0,3,
1732.705,abandon,0,3,
1732.705,start,0,9,
1777.396,merge-conflict,0,9,
1787.396,merge-conflict,0,9,
1797.396,merge-conflict,0,9,
1807.396,merge-conflict,0,9,
1807.396,abandon,0,9,
1807.396,start,0,10,
1819.981,merge-conflict,0,10,
1829.981,merge-conflict,0,10,
1839.981,merge-conflict,0,10,
1849.981,merge-conflict,0,10,
1849.981,abandon,0,10,
1849.981,start,0,11,
1883.372,merge-conflict,0,11,
1893.372,merge-conflict,0,11,
1903.372,merge-conflict,0,11,
1913.372,merge-conflict,0,11,
1913.372,abandon,0,11,
1913.372,start,0,12,
2543.042,merge-conflict,0,12,
2553.042,merge-conflict,0,12,
2563.042,merge-conflict,0,12,
2573.042,merge-conflict,0,12,
2573.042,abandon,0,12,
2573.042,start,0,13,
2578.659,merge-conflict,0,13,
2588.659,merge-conflict,0,13,
2598.659,merge-conflict,0,13,
2608.659,merge-conflict,0,13,
2608.659,abandon,0,13,
2608.659,start,0,14,
2625.666,merge-conflict,0,14,
2635.666,merge-conflict,0,14,
2645.666,merge-conflict,0,14,
2655.666,merge-conflict,0,14,
2655.666,abandon,0,14,
2655.666,start,0,15,
2671.228,merge-conflict,0,15,
2681.228,merge-conflict,0,15,
2691.228,merge-conflict,0,15,
2701.228,merge-conflict,0,15,
2701.228,abandon,0,15,
2701.228,start,0,16,
2727.891,merge-conflict,0,16,
2737.891,merge-conflict,0,16,
2747.891,merge-conflict,0,16,
2757.891,merge-conflict,0,16,
2757.891,abandon,0,16,
2757.891,start,0,17,
2779.447,merge-conflict,0,17,
2789.447,merge-conflict,0,17,
2799.447,merge-conflict,0,17,
2809.447,merge-conflict,0,17,
2809.447,abandon,0,17,
2809.447,start,0,18,
2823.951,merge-conflict,0,18,
2833.951,merge-conflict,0,18,
2843.951,merge-conflict,0,18,
2853.951,merge-conflict,0,18,
2853.951,abandon,0,18,
2853.951,start,0,19,
2993.424,merge-conflict,0,19,
3003.424,merge-conflict,0,19,
3013.424,merge-conflict,0,19,
3023.424,merge-conflict,0,19,
3023.424,abandon,0,19,
3023.424,start,0,20,
3058.059,merge-conflict,0,20,
3068.059,merge-conflict,0,20,
3078.059,merge-conflict,0,20,
3088.059,merge-conflict,0,20,
3088.059,abandon,0,20,
3088.059,start,0,21,
3143.943,merge-conflict,0,21,
3153.943,merge-conflict,0,21,
3163.943,merge-conflict,0,21,
3173.943,merge-conflict,0,21,
3173.943,abandon,0,21,
3173.943,start,0,22,
3182.754,merge-conflict,0,22,
3192.754,merge-conflict,0,22,
3202.754,merge-conflict,0,22,
3212.754,merge-conflict,0,22,
3212.754,abandon,0,22,
3212.754,start,0,23,
3413.246,merge-conflict,0,23,
3423.246,merge-conflict,0,23,
3433.246,merge-conflict,0,23,
3443.246,merge-conflict,0,23,
3443.246,abandon,0,23,
3443.246,start,0,24,
3451.599,merge-conflict,0,24,
3461.599,merge-conflict,0,24,
3471.599,merge-conflict,0,24,
3481.599,merge-conflict,0,24,
3481.599,abandon,0,24,
3481.599,start,0,25,
3489.009,merge-conflict,0,25,
3499.009,merge-conflict,0,25,
3509.009,merge-conflict,0,25,
3519.009,merge-conflict,0,25,
3519.009,abandon,0,25,
3519.009,start,0,26,
