time,event,agent_id,task_id,note
0.0,start,0,0,
0.0,start,1,1,
16.393,land,0,0,
16.393,start,0,2,
23.343,land,0,2,
23.343,start,0,3,
123.263,land,1,1,
123.263,start,1,4,
266.869,land,1,4,
266.869,start,1,5,
1122.139,merge-conflict,1,5,
1122.139,abandon,1,5,
1122.139,start,1,6,
1138.504,merge-conflict,1,6,
1138.504,abandon,1,6,
1138.504,start,1,7,
1149.063,merge-conflict,1,7,
1149.063,abandon,1,7,
1149.063,start,1,8,
1922.213,merge-conflict,0,3,
1922.213,abandon,0,3,
1922.213,start,0,9,
1952.327,merge-conflict,0,9,
1952.327,abandon,0,9,
1952.327,start,0,10,
1966.745,merge-conflict,0,10,
1966.745,abandon,0,10,
1966.745,start,0,11,
2007.05,merge-conflict,0,11,
2007.05,abandon,0,11,
2007.05,start,0,12,
2767.441,merge-conflict,0,12,
2767.441,abandon,0,12,
2767.441,start,0,13,
2771.649,merge-conflict,0,13,
2771.649,abandon,0,13,
2771.649,start,0,14,
2786.157,merge-conflict,0,14,
2786.157,abandon,0,14,
2786.157,start,0,15,
2799.752,merge-conflict,0,15,
2799.752,abandon,0,15,
2799.752,start,0,16,
2817.335,merge-conflict,0,16,
2817.335,abandon,0,16,
2817.335,start,0,17,
2843.945,merge-conflict,0,17,
2843.945,abandon,0,17,
2843.945,start,0,18,
2862.558,merge-conflict,0,18,
2862.558,abandon,0,18,
2862.558,start,0,19,
2978.931,merge-conflict,0,19,
2978.931,abandon,0,19,
2978.931,start,0,20,
3013.264,merge-conflict,0,20,
3013.264,abandon,0,20,
3013.264,start,0,21,
3093.202,merge-conflict,0,21,
3093.202,abandon,0,21,
3093.202,start,0,22,
3104.574,merge-conflict,0,22,
3104.574,abandon,0,22,
3104.574,start,0,23,
3313.536,merge-conflict,0,23,
3313.536,abandon,0,23,
3313.536,start,0,24,
3321.006,merge-conflict,0,24,
3321.006,abandon,0,24,
3321.006,start,0,25,
3326.726,merge-conflict,0,25,
3326.726,abandon,0,25,
3326.726,start,0,26,
3331.03,merge-conflict,0,26,
3331.03,abandon,0,26,
3331.03,start,0,27,
3343.525,merge-conflict,0,27,
3343.525,abandon,0,27,
3343.525,start,0,28,
3355.078,merge-conflict,0,28,
3355.078,abandon,0,28,
3355.078,start,0,29,
25621.928,merge-conflict,1,8,
25621.928,abandon,1,8,
25621.928,start,1,30,
25637.045,merge-conflict,1,30,
25637.045,abandon,1,30,
25637.045,start,1,31,
25644.592,merge-conflict,1,31,
25644.592,abandon,1,31,
25644.592,start,1,32,
25674.517,merge-conflict,1,32,
25674.517,abandon,1,32,
25674.517,start,1,33,
25712.572,merge-conflict,1,33,
25712.572,abandon,1,33,
25712.572,start,1,34,
25728.302,merge-conflict,1,34,
25728.302,abandon,1,34,
25728.302,start,1,35,
25732.579,merge-conflict,1,35,
25732.579,abandon,1,35,
25732.579,start,1,36,
25826.378,merge-conflict,1,36,
25826.378,abandon,1,36,
25826.378,start,1,37,
25872.902,merge-conflict,1,37,
25872.902,abandon,1,37,
25872.902,start,1,38,
25892.439,merge-conflict,1,38,
25892.439,abandon,1,38,
25892.439,start,1,39,
26031.213,merge-conflict,1,39,
26031.213,abandon,1,39,
26031.213,start,1,40,
26058.419,merge-conflict,1,40,
26058.419,abandon,1,40,
26058.419,start,1,41,
26073.01,merge-conflict,1,41,
26073.01,abandon,1,41,
26073.01,start,1,42,
26077.646,merge-conflict,1,42,
26077.646,abandon,1,42,
26077.646,start,1,43,
26083.043,merge-conflict,1,43,
26083.043,abandon,1,43,
26083.043,start,1,44,
26117.03,merge-conflict,1,44,
26117.03,abandon,1,44,
26117.03,start,1,45,
26144.071,merge-conflict,1,45,
26144.071,abandon,1,45,
26144.071,start,1,46,
26636.198,merge-conflict,1,46,
26636.198,abandon,1,46,
26636.198,start,1,47,
26676.235,merge-conflict,1,47,
26676.235,abandon,1,47,
26676.235,start,1,48,
26762.493,merge-conflict,1,48,
26762.493,abandon,1,48,
26762.493,start,1,49,
26772.413,merge-conflict,1,49,
26772.413,abandon,1,49,
26772.413,start,1,50,
26782.997,merge-conflict,1,50,
26782.997,abandon,1,50,
26782.997,start,1,51,
