time,event,agent_id,task_id,note
0.0,start,0,0,
0.0,start,1,1,
16.393,land,0,0,
16.393,start,0,2,
23.343,land,0,2,
23.343,start,0,3,
123.263,torn,1,0,task 1's last-writer-wins overwrite of docs/_templates/sidebarintro.html silently discarded task 0's landed edit
123.263,land,1,1,
123.263,start,1,4,
266.869,land,1,4,
266.869,start,1,5,
1122.139,torn,1,4,task 5's last-writer-wins overwrite of HISTORY.rst silently discarded task 4's landed edit
1122.139,land,1,5,
1122.139,start,1,6,
1138.504,land,1,6,
1138.504,start,1,7,
1149.063,torn,1,6,task 7's last-writer-wins overwrite of README.rst silently discarded task 6's landed edit
1149.063,land,1,7,
1149.063,start,1,8,
1922.213,torn,0,7,task 3's last-writer-wins overwrite of README.rst silently discarded task 7's landed edit
1922.213,torn,0,1,task 3's last-writer-wins overwrite of docs/_templates/sidebarintro.html silently discarded task 1's landed edit
1922.213,torn,0,5,task 3's last-writer-wins overwrite of docs/index.rst silently discarded task 5's landed edit
1922.213,land,0,3,
1922.213,start,0,9,
1952.327,land,0,9,
1952.327,start,0,10,
1966.745,land,0,10,
1966.745,start,0,11,
2007.05,torn,0,9,task 11's last-writer-wins overwrite of HISTORY.rst silently discarded task 9's landed edit
2007.05,torn,0,10,task 11's last-writer-wins overwrite of requests/__init__.py silently discarded task 10's landed edit
2007.05,land,0,11,
2007.05,start,0,12,
2767.441,torn,0,3,task 12's last-writer-wins overwrite of .travis.yml silently discarded task 3's landed edit
2767.441,torn,0,11,task 12's last-writer-wins overwrite of HISTORY.rst silently discarded task 11's landed edit
2767.441,land,0,12,
2767.441,start,0,13,
2771.649,land,0,13,
2771.649,start,0,14,
2786.157,torn,0,12,task 14's last-writer-wins overwrite of docs/index.rst silently discarded task 12's landed edit
2786.157,land,0,14,
2786.157,start,0,15,
2799.752,torn,0,14,task 15's last-writer-wins overwrite of docs/index.rst silently discarded task 14's landed edit
2799.752,land,0,15,
2799.752,start,0,16,
2817.335,land,0,16,
2817.335,start,0,17,
2843.945,land,0,17,
2843.945,start,0,18,
2862.558,torn,0,2,task 18's last-writer-wins overwrite of docs/conf.py silently discarded task 2's landed edit
2862.558,land,0,18,
2862.558,start,0,19,
2978.931,torn,0,16,task 19's last-writer-wins overwrite of requests/__init__.py silently discarded task 16's landed edit
2978.931,torn,0,17,task 19's last-writer-wins overwrite of setup.py silently discarded task 17's landed edit
2978.931,land,0,19,
2978.931,start,0,20,
3013.264,land,0,20,
3013.264,start,0,21,
3093.202,torn,0,19,task 21's last-writer-wins overwrite of requests/__about__.py silently discarded task 19's landed edit
3093.202,land,0,21,
3093.202,start,0,22,
3104.574,land,0,22,
3104.574,start,0,23,
3313.536,torn,0,20,task 23's last-writer-wins overwrite of requests/__version__.py silently discarded task 20's landed edit
3313.536,torn,0,21,task 23's last-writer-wins overwrite of requests/utils.py silently discarded task 21's landed edit
3313.536,land,0,23,
3313.536,start,0,24,
3321.006,land,0,24,
3321.006,start,0,25,
3326.726,torn,0,23,task 25's last-writer-wins overwrite of requests/__version__.py silently discarded task 23's landed edit
3326.726,land,0,25,
3326.726,start,0,26,
3331.03,land,0,26,
3331.03,start,0,27,
3343.525,land,0,27,
3343.525,start,0,28,
3355.078,torn,0,25,task 28's last-writer-wins overwrite of requests/__version__.py silently discarded task 25's landed edit
3355.078,land,0,28,
3355.078,start,0,29,
25621.928,torn,1,27,task 8's last-writer-wins overwrite of HISTORY.rst silently discarded task 27's landed edit
25621.928,torn,1,24,task 8's last-writer-wins overwrite of setup.py silently discarded task 24's landed edit
25621.928,land,1,8,
25621.928,start,1,30,
25637.045,torn,1,8,task 30's last-writer-wins overwrite of requests/__init__.py silently discarded task 8's landed edit
25637.045,land,1,30,
25637.045,start,1,31,
25644.592,land,1,31,
25644.592,start,1,32,
25674.517,torn,1,15,task 32's last-writer-wins overwrite of docs/index.rst silently discarded task 15's landed edit
25674.517,land,1,32,
25674.517,start,1,33,
25712.572,torn,1,32,task 33's last-writer-wins overwrite of HISTORY.rst silently discarded task 32's landed edit
25712.572,land,1,33,
25712.572,start,1,34,
25728.302,torn,1,33,task 34's last-writer-wins overwrite of HISTORY.rst silently discarded task 33's landed edit
