time,event,agent_id,task_id,note
0.0,start,0,0,
0.0,start,1,1,
0.0,start,2,2,
0.0,start,3,3,
4.404,land,2,2,
4.404,start,2,4,
26.746,land,0,0,
26.746,start,0,5,
129.407,torn,1,0,task 1's last-writer-wins overwrite of docs/_templates/sidebarintro.html silently discarded task 0's landed edit
129.407,land,1,1,
129.407,start,1,6,
145.935,land,1,6,
145.935,start,1,7,
153.899,torn,1,6,task 7's last-writer-wins overwrite of README.rst silently discarded task 6's landed edit
153.899,land,1,7,
153.899,start,1,8,
177.391,land,2,4,
177.391,start,2,9,
222.082,torn,2,4,task 9's last-writer-wins overwrite of HISTORY.rst silently discarded task 4's landed edit
222.082,land,2,9,
222.082,start,2,10,
234.667,land,2,10,
234.667,start,2,11,
268.058,torn,2,9,task 11's last-writer-wins overwrite of HISTORY.rst silently discarded task 9's landed edit
268.058,torn,2,10,task 11's last-writer-wins overwrite of requests/__init__.py silently discarded task 10's landed edit
268.058,land,2,11,
268.058,start,2,12,
897.728,torn,2,11,task 12's last-writer-wins overwrite of HISTORY.rst silently discarded task 11's landed edit
897.728,land,2,12,
897.728,start,2,13,
903.345,land,2,13,
903.345,start,2,14,
920.352,torn,2,12,task 14's last-writer-wins overwrite of docs/index.rst silently discarded task 12's landed edit
920.352,land,2,14,
920.352,start,2,15,
935.915,torn,2,14,task 15's last-writer-wins overwrite of docs/index.rst silently discarded task 14's landed edit
935.915,land,2,15,
935.915,start,2,16,
962.577,land,2,16,
962.577,start,2,17,
984.134,torn,2,7,task 17's last-writer-wins overwrite of README.rst silently discarded task 7's landed edit
984.134,land,2,17,
984.134,start,2,18,
998.637,torn,2,2,task 18's last-writer-wins overwrite of docs/conf.py silently discarded task 2's landed edit
998.637,land,2,18,
998.637,start,2,19,
1033.621,torn,0,15,task 5's last-writer-wins overwrite of docs/index.rst silently discarded task 15's landed edit
1033.621,land,0,5,
1033.621,start,0,20,
1068.256,land,0,20,
1068.256,start,0,21,
1124.14,torn,0,16,task 21's last-writer-wins overwrite of requests/__init__.py silently discarded task 16's landed edit
1124.14,torn,0,5,task 21's last-writer-wins overwrite of requests/utils.py silently discarded task 5's landed edit
1124.14,torn,0,17,task 21's last-writer-wins overwrite of setup.py silently discarded task 17's landed edit
1124.14,land,0,21,
1124.14,start,0,22,
1132.951,land,0,22,
1132.951,start,0,23,
1138.11,torn,2,21,task 19's last-writer-wins overwrite of requests/__about__.py silently discarded task 21's landed edit
1138.11,land,2,19,
1138.11,start,2,24,
1146.462,torn,2,19,task 24's last-writer-wins overwrite of setup.py silently discarded task 19's landed edit
1146.462,land,2,24,
1146.462,start,2,25,
1153.873,torn,2,20,task 25's last-writer-wins overwrite of requests/__version__.py silently discarded task 20's landed edit
1153.873,land,2,25,
1153.873,start,2,26,
1159.965,land,2,26,
1159.965,start,2,27,
1175.51,land,2,27,
1175.51,start,2,28,
1185.61,torn,2,25,task 28's last-writer-wins overwrite of requests/__version__.py silently discarded task 25's landed edit
1185.61,land,2,28,
1185.61,start,2,29,
1333.444,torn,0,27,task 23's last-writer-wins overwrite of HISTORY.rst silently discarded task 27's landed edit
1333.444,torn,0,28,task 23's last-writer-wins overwrite of requests/__version__.py silently discarded task 28's landed edit
1333.444,torn,0,26,task 23's last-writer-wins overwrite of requests/sessions.py silently discarded task 26's landed edit
1333.444,land,0,23,
1333.444,start,0,30,
1349.555,land,0,30,
1349.555,start,0,31,
1356.593,land,0,31,
1356.593,start,0,32,
1392.814,torn,0,23,task 32's last-writer-wins overwrite of HISTORY.rst silently discarded task 23's landed edit
1392.814,land,0,32,
1392.814,start,0,33,
1443.483,torn,0,32,task 33's last-writer-wins overwrite of HISTORY.rst silently discarded task 32's landed edit
1443.483,land,0,33,
1443.483,start,0,34,
1463.368,torn,0,33,task 34's last-writer-wins overwrite of HISTORY.rst silently discarded task 33's landed edit
1463.368,land,0,34,
1463.368,start,0,35,
1468.222,torn,0,34,task 35's last-writer-wins overwrite of HISTORY.rst silently discarded task 34's landed edit
1468.222,land,0,35,
1468.222,start,0,36,
1564.642,land,0,36,
1564.642,start,0,37,
