cliques_C,level_k,corrupt_value_G_k,phase
1,0,400.000000,linear
1,1,390.000000,linear
1,2,380.000000,linear
1,3,370.000000,linear
1,4,360.000000,linear
1,5,350.000000,linear
1,6,340.000000,linear
1,7,330.000000,linear
1,8,320.000000,linear
1,9,310.000000,linear
1,10,300.000000,linear
1,11,290.000000,linear
1,12,280.000000,linear
1,13,270.000000,linear
1,14,260.000000,linear
1,15,250.000000,linear
1,16,240.000000,linear
1,17,230.000000,linear
1,18,220.000000,linear
1,19,210.000000,linear
1,20,200.000000,linear
1,21,190.000000,linear
1,22,180.000000,linear
1,23,170.000000,linear
1,24,160.000000,linear
1,25,150.000000,linear
1,26,140.000000,linear
1,27,130.000000,linear
1,28,120.000000,linear
1,29,110.000000,linear
1,30,100.000000,linear
1,31,90.000000,linear
1,32,80.000000,linear
1,33,70.000000,linear
1,34,60.000000,linear
1,35,50.000000,linear
1,36,40.000000,geometric
1,37,32.000000,geometric
1,38,25.600000,geometric
1,39,20.480000,geometric
1,40,16.384000,geometric
1,41,13.107200,geometric
1,42,10.485760,geometric
1,43,8.388608,geometric
1,44,6.710886,geometric
1,45,5.368709,geometric
1,46,4.294967,geometric
1,47,3.435974,geometric
1,48,2.748779,geometric
1,49,2.199023,geometric
1,50,1.759219,geometric
1,51,1.407375,geometric
1,52,1.125900,geometric
1,53,0.900720,geometric
1,54,0.720576,geometric
1,55,0.576461,geometric
1,56,0.461169,geometric
1,57,0.368935,geometric
1,58,0.295148,geometric
1,59,0.236118,geometric
1,60,0.188895,geometric
2,0,400.000000,linear
2,1,380.000000,linear
2,2,360.000000,linear
2,3,340.000000,linear
2,4,320.000000,linear
2,5,300.000000,linear
2,6,280.000000,linear
2,7,260.000000,linear
2,8,240.000000,linear
2,9,220.000000,linear
2,10,200.000000,linear
2,11,180.000000,linear
2,12,160.000000,linear
2,13,140.000000,linear
2,14,120.000000,linear
2,15,100.000000,linear
2,16,80.000000,geometric
2,17,64.000000,geometric
2,18,51.200000,geometric
2,19,40.960000,geometric
2,20,32.768000,geometric
2,21,26.214400,geometric
2,22,20.971520,geometric
2,23,16.777216,geometric
2,24,13.421773,geometric
2,25,10.737418,geometric
2,26,8.589935,geometric
2,27,6.871948,geometric
2,28,5.497558,geometric
2,29,4.398047,geometric
2,30,3.518437,geometric
2,31,2.814750,geometric
2,32,2.251800,geometric
2,33,1.801440,geometric
2,34,1.441152,geometric
2,35,1.152922,geometric
2,36,0.922337,geometric
2,37,0.737870,geometric
2,38,0.590296,geometric
2,39,0.472237,geometric
2,40,0.377789,geometric
2,41,0.302231,geometric
2,42,0.241785,geometric
2,43,0.193428,geometric
2,44,0.154743,geometric
2,45,0.123794,geometric
2,46,0.099035,geometric
2,47,0.079228,geometric
2,48,0.063383,geometric
2,49,0.050706,geometric
2,50,0.040565,geometric
2,51,0.032452,geometric
2,52,0.025961,geometric
2,53,0.020769,geometric
2,54,0.016615,geometric
2,55,0.013292,geometric
2,56,0.010634,geometric
2,57,0.008507,geometric
2,58,0.006806,geometric
2,59,0.005445,geometric
2,60,0.004356,geometric
8,0,400.000000,geometric
8,1,320.000000,geometric
8,2,256.000000,geometric
8,3,204.800000,geometric
8,4,163.840000,geometric
8,5,131.072000,geometric
8,6,104.857600,geometric
8,7,83.886080,geometric
8,8,67.108864,geometric
8,9,53.687091,geometric
8,10,42.949673,geometric
8,11,34.359738,geometric
8,12,27.487791,geometric
8,13,21.990233,geometric
8,14,17.592186,geometric
8,15,14.073749,geometric
8,16,11.258999,geometric
8,17,9.007199,geometric
8,18,7.205759,geometric
8,19,5.764608,geometric
8,20,4.611686,geometric
8,21,3.689349,geometric
8,22,2.951479,geometric
8,23,2.361183,geometric
8,24,1.888947,geometric
8,25,1.511157,geometric
8,26,1.208926,geometric
8,27,0.967141,geometric
8,28,0.773713,geometric
8,29,0.618970,geometric
8,30,0.495176,geometric
8,31,0.396141,geometric
8,32,0.316913,geometric
8,33,0.253530,geometric
8,34,0.202824,geometric
8,35,0.162259,geometric
8,36,0.129807,geometric
8,37,0.103846,geometric
8,38,0.083077,geometric
8,39,0.066461,geometric
8,40,0.053169,geometric
8,41,0.042535,geometric
8,42,0.034028,geometric
8,43,0.027223,geometric
8,44,0.021778,geometric
8,45,0.017422,geometric
8,46,0.013938,geometric
8,47,0.011150,geometric
8,48,0.008920,geometric
8,49,0.007136,geometric
8,50,0.005709,geometric
8,51,0.004567,geometric
8,52,0.003654,geometric
8,53,0.002923,geometric
8,54,0.002338,geometric
8,55,0.001871,geometric
8,56,0.001497,geometric
8,57,0.001197,geometric
8,58,0.000958,geometric
8,59,0.000766,geometric
8,60,0.000613,geometric
