discount_delta,pd_star_required_detection
0.8000,0.023366
0.8050,0.024200
0.8100,0.025032
0.8150,0.025863
0.8200,0.026693
0.8250,0.027521
0.8300,0.028348
0.8350,0.029173
0.8400,0.029997
0.8450,0.030820
0.8500,0.031641
0.8550,0.032461
0.8600,0.033280
0.8650,0.034097
0.8700,0.034913
0.8750,0.035727
0.8800,0.036540
0.8850,0.037352
0.8900,0.038162
0.8950,0.038971
0.9000,0.039778
0.9050,0.040584
0.9100,0.041389
0.9150,0.042193
0.9200,0.042995
0.9250,0.043796
0.9300,0.044595
0.9350,0.045393
0.9400,0.046190
0.9450,0.046985
0.9500,0.047779
0.9550,0.048572
0.9600,0.049364
0.9650,0.050154
0.9700,0.050943
0.9750,0.051730
0.9800,0.052516
0.9850,0.053301
0.9900,0.054085
0.9950,0.054867
1.0000,0.055648
