"# R1 information-floor sweep; emitted by a7_experiment.py, seed 20260816, N=60, k=2, m=8"
"# floor_analytic is closed form (log2 C(N,k) - log2 C(m,k)); miss_* columns are measured Monte-Carlo rates"
N,k,m,B_bits,floor_analytic,miss_oracle,miss_noisy,miss_random,trials_oracle,trials_noisy,trials_random
60,2,8,1.000000,5.982179,0.974000,0.979500,0.986000,4000,4000,2000
60,2,8,1.665479,5.982179,0.954250,0.973250,0.974500,4000,4000,2000
60,2,8,2.330957,5.982179,0.926750,0.971000,0.984500,4000,4000,2000
60,2,8,2.996436,5.982179,0.895500,0.967000,0.980500,4000,4000,2000
60,2,8,3.661914,5.982179,0.826500,0.957750,0.985500,4000,4000,2000
60,2,8,4.327393,5.982179,0.737750,0.952000,0.986000,4000,4000,2000
60,2,8,4.992871,5.982179,0.601750,0.948750,0.984000,4000,4000,2000
60,2,8,5.658350,5.982179,0.463500,0.947750,0.985500,4000,4000,2000
60,2,8,6.323829,5.982179,0.276250,0.941250,0.980500,4000,4000,2000
60,2,8,6.989307,5.982179,0.138750,0.939250,0.989000,4000,4000,2000
60,2,8,7.654786,5.982179,0.037000,0.927000,0.985000,4000,4000,2000
60,2,8,8.320264,5.982179,0.005250,0.929750,0.985500,4000,4000,2000
60,2,8,8.985743,5.982179,0.000000,0.927000,0.975500,4000,4000,2000
60,2,8,9.651222,5.982179,0.000000,0.912750,0.988500,4000,4000,2000
60,2,8,10.316700,5.982179,0.000000,0.910000,0.984000,4000,4000,2000
60,2,8,10.982179,5.982179,0.000000,0.905000,0.984500,4000,4000,2000
