d,adv
0.002000,22.727273
0.002049,22.184025
0.002099,21.653762
0.002151,21.136173
0.002203,20.630957
0.002257,20.137817
0.002312,19.656464
0.002369,19.186618
0.002427,18.728001
0.002487,18.280347
0.002547,17.843394
0.002610,17.416885
0.002674,17.000570
0.002739,16.594207
0.002806,16.197557
0.002875,15.810388
0.002945,15.432474
0.003018,15.063592
0.003091,14.703529
0.003167,14.352071
0.003245,14.009015
0.003324,13.674159
0.003406,13.347306
0.003489,13.028267
0.003574,12.716853
0.003662,12.412883
0.003752,12.116179
0.003843,11.826567
0.003938,12.698265
0.004034,12.394740
0.004133,12.098469
0.004234,11.809280
0.004338,11.527004
0.004444,11.251475
0.004553,10.982532
0.004664,10.720017
0.004778,10.463778
0.004895,10.213663
0.005015,9.969526
0.005138,9.731226
0.005264,9.498621
0.005393,9.271576
0.005525,9.049958
0.005660,8.833638
0.005799,8.622488
0.005941,8.416386
0.006086,8.215209
0.006235,8.018842
0.006388,7.827168
0.006544,7.640076
0.006705,7.457456
0.006869,7.279201
0.007037,7.105207
0.007209,6.935372
0.007386,6.769596
0.007567,6.607783
0.007752,6.449838
0.007942,6.995186
0.008136,6.827981
0.008336,6.664772
0.008540,6.505465
0.008749,6.349965
0.008963,6.198182
0.009183,6.050028
0.009408,5.905414
0.009638,5.764258
0.009874,5.626475
0.010116,5.491986
0.010363,5.360711
0.010617,5.232575
0.010877,5.107501
0.011144,4.985417
0.011417,4.866251
0.011696,4.749933
0.011982,4.636396
0.012276,4.525573
0.012577,4.417398
0.012885,4.311809
0.013200,4.208745
0.013523,4.108143
0.013854,4.009947
0.014194,3.914097
0.014541,3.820539
0.014897,3.729217
0.015262,3.640078
0.015636,3.997203
0.016019,3.901658
0.016411,3.808397
0.016813,3.717365
0.017225,3.628509
0.017647,3.541777
0.018079,3.457119
0.018521,3.374483
0.018975,3.293823
0.019440,3.215091
0.019916,3.138241
0.020403,3.063228
0.020903,2.990008
0.021415,2.918538
0.021939,2.848777
0.022476,2.780682
0.023027,2.714216
0.023591,2.649338
0.024168,2.586011
0.024760,2.524198
0.025367,2.463862
0.025988,2.404969
0.026624,2.347483
0.027276,2.291371
0.027944,2.236601
0.028628,2.183140
0.029330,2.130956
0.030048,2.080020
0.030784,2.030302
0.031537,2.264882
0.032310,2.210744
0.033101,2.157901
0.033912,2.106321
0.034742,2.055974
0.035593,2.006830
0.036464,1.958861
0.037357,1.912038
0.038272,1.866335
0.039209,1.821724
0.040169,1.778180
0.041153,1.735676
0.042161,1.694188
0.043193,1.653692
0.044251,1.614164
0.045335,1.575581
0.046445,1.537920
0.047582,1.501159
0.048747,1.465277
0.049941,1.430253
0.051164,1.396066
0.052417,1.362695
0.053701,1.330123
0.055016,1.298329
0.056363,1.267295
0.057743,1.237003
0.059157,1.207435
0.060606,1.178574
0.062090,1.150403
0.063611,1.310056
0.065168,1.278741
0.066764,1.248176
0.068399,1.218341
0.070074,1.189219
0.071790,1.160793
0.073548,1.133047
0.075349,1.105964
0.077194,1.079528
0.079085,1.053724
0.081021,1.028537
0.083005,1.003952
0.085038,0.979954
0.087120,0.956531
0.089254,0.933667
0.091439,0.911349
0.093679,0.889566
0.095973,0.868302
0.098323,0.847547
0.100731,0.827288
0.103197,0.807514
0.105725,0.788212
0.108314,0.769371
0.110966,0.750981
0.113683,0.733031
0.116467,0.715509
0.119319,0.698406
0.122241,0.681712
0.125235,0.798501
0.128301,0.779414
0.131443,0.760784
0.134662,0.742599
0.137960,0.724849
0.141338,0.707523
0.144799,0.690611
0.148345,0.674103
0.151978,0.657990
0.155700,0.642262
0.159512,0.626910
0.163419,0.611925
0.167420,0.597299
0.171520,0.583021
0.175721,0.569086
0.180024,0.555483
0.184432,0.542205
0.188948,0.529245
0.193576,0.516594
0.198316,0.504246
0.203172,0.492193
0.208148,0.480428
0.213245,0.468945
0.218467,0.457736
0.223817,0.446794
0.229297,0.436115
0.234913,0.425690
0.240665,0.415515
0.246559,0.405583
0.252596,0.494860
0.258782,0.483032
0.265119,0.471486
0.271612,0.460216
0.278263,0.449216
0.285077,0.438478
0.292058,0.427997
0.299210,0.417767
0.306537,0.407781
0.314044,0.398034
0.321734,0.388520
0.329613,0.379233
0.337684,0.370168
0.345954,0.361320
0.354426,0.352683
0.363105,0.344253
0.371997,0.336025
0.381106,0.327993
0.390439,0.320153
0.400000,0.312500
